PDB_ID	bits
1ny9A	9.893
4xusA	9.893
7y0dG	9.893
8buxA	9.893
3o2bA	9.893
3lddA	9.359
4p39A	9.359
1r6oC	9.359
5he9E	9.359
7m44A	9.359
3upqA	9.359
4r50B	9.359
8gzqB	9.359
1orpA	8.854
1r6oD	8.854
1c9bM	8.854
3o2hA	8.854
1p59A	8.854
8ia2D	8.854
7ktjA	8.854
3tadA	8.854
1kdhA	8.854
1mg9A	8.854
3hw8A	8.854
7oa5B	8.854
2maxA	8.854
3hx0K	8.854
2nrwA	8.854
1mbxC	8.375
4qe9A	8.375
4gibB	8.375
1xktB	8.375
3seiB	8.375
2d3dA	8.375
5zryB	8.375
6l1qC	8.375
7anwA	8.375
8gq5A	8.375
7kjbA	8.375
4r50A	8.375
6fizI	8.375
3o1fB	7.923
2px6A	7.923
7kjcB	7.923
4r7cB	7.923
7m0eA	7.923
7cocA	7.923
4rqmB	7.923
2wa8C	7.923
1wkbA	7.923
