PDB_ID	bits
4q85A	9.849
6msrA	9.849
6msrC	9.849
3d36A	9.849
4zh4D	9.849
4llgJ	9.849
4ps2A	9.849
5ng5B	9.849
6msqB	9.26
7todA	9.26
7xvqC	8.706
5j2lA	8.706
6msrB	8.706
4zh4J	7.695
8c5wA	7.695
7qiwT	7.695
4kp4B	7.695
2f66D	7.695
6azrC	7.234
8b6lO	7.234
3v09A	7.234
6rh7B	6.802
7xvqA	6.802
7oqyQ	6.395
3lofE	6.012
6pajB	6.012
7de7A	5.652
2f66A	4.697
5urw1A	4.697
2f6mC	4.697
4fqnD	4.152
4h6xA	4.152
5j2lB	4.152
7de7B	3.903
2ld7B	2.24
6fddB	2.106
7s69B	1.068
7ac1A	0.05196
5n9qA	6.763e-06
A0A7G2DY05	9.732
A0A2G9GUW2	9.732
A0A6J1EC98	9.732
A0A7C9EGM5	9.732
A0A453MKU9	9.732
A0A251SPS3	9.732
A0A7K1ILE6	9.732
A0A5J5AVL4	9.732
A0A2P5B4T2	9.732
A0A1R3KWP4	9.732
A0A438EQL1	9.732
A0A392RX58	9.732
A0A803PG16	9.732
A0A068VCU2	9.732
A0A6A4KBS2	9.732
A0A7N0U4F5	9.732
A0A0V0ISK3	9.732
A0A2P2LM72	9.732
A0A5J4ZVF2	9.15
A0A2K3P6Y7	9.15
F6HT57	9.15
A0A834TW54	9.15
A0A7J0H0H3	9.15
A0A1S3CQK1	9.15
A0A7J9H878	9.15
A0A4U5PVA6	9.15
A0A7J7M0Y5	9.15
A0A4S4EY91	9.15
A0A392R4G0	9.15
A0A7J9JIU5	9.15
A0A2R6PCZ1	9.15
A0A2P5Y2I6	9.15
A0A1U7YZZ3	9.15
A0A453ML12	9.15
A0A1U8GYM4	9.15
A0A2P2JE41	9.15
A0A7J6GJR1	8.603
A0A3B6N3E2	8.603
A0A834WQ15	8.603
A0A0D2U297	8.603
A0A2Z6MCV6	8.603
A0A3B6I1L5	8.603
A0A443PE65	8.603
A0A453ML51	8.603
A0A218VVY0	8.603
A0A7J9GG46	8.603
A0A6P8DHP4	8.603
A0A4D9AIE5	8.603
A0A166IY54	8.603
A0A7J9BLQ0	8.603
