PDB_ID	bits
8hl5AL3P	9.796
4csuP	9.796
7oiaQ	9.796
2vpmB	9.796
4hizB	9.796
5oecA	9.796
2cp6A	9.796
5jteBP	9.197
4v64DP	9.197
4fu6A	9.197
7paro	8.635
4w29BT	8.635
4v9jBT	8.635
6ah0q	8.635
4p7hA	8.635
1wqsD	8.635
6sgaCj	8.635
4x2vB	8.635
7bu9C	8.635
5t6gB	8.635
2vobA	8.107
6bphA	8.107
2x3xD	8.107
6m0vA	7.611
2vobB	7.611
3ja1LR	7.146
3a2zA	7.146
6bheA	7.146
6xywAp	7.146
6rjaF	7.146
7p48N	6.709
4v9mDT	6.709
4bacA	6.709
5nd8S	6.299
3a2yA	6.299
6sdgB	6.299
3fb9A	6.299
2hqeA	6.299
2o4xA	6.299
6ahdx	6.299
2j28U	6.299
2gzoA	6.299
5m9nA	5.914
1hjdA	5.914
3omgA	5.914
6au2A	5.914
3u34A	5.914
1ycsB	5.552
7bu9G	5.552
4ce4T	5.552
U5DET7	9.917
B7K1T0	9.917
B1WTF8	9.917
A0A3M9Z399	9.917
A0A0S3U7P0	9.917
A0A0P4UTR2	9.917
A9BDY6	9.917
A0A6P0Y4M0	9.917
A0A6M0BIC3	9.917
A0A6M0AWQ8	9.917
A0A6P0MP33	9.917
K9RWB8	9.917
A0A2T2S1N3	9.917
A0A2T2RQR3	9.917
Q7U4V3	9.917
A0A7G8ETL9	9.917
A0A0A2B1P0	9.917
B9P048	9.917
A0A845X3F5	9.917
A0A4Y3FUC0	9.311
A0A0V7ZP30	9.311
A0A1C9CFR5	9.311
P0A423	9.311
K9Y889	9.311
A0A5B8NIU2	9.311
Q1XDG0	9.311
A0A089QPL7	9.311
A0A856MAL0	9.311
A0A2W6ZZ61	9.311
A0A1Y9TM04	8.742
A0A0P8DF17	8.742
A0A1Z1MRI2	8.742
A0A2T1CHW2	8.742
A0A1Z1MEF3	8.742
A0A0A2BRC1	8.742
A0A6P0QTW4	8.742
A0A7S3FT52	8.742
A0A023JEG4	8.742
Q85FZ1	8.742
A0A7S4IJP4	8.742
A0T0F3	8.742
A0A4V8H007	8.742
A0A0M0K0U9	8.742
A0A7S0QA99	8.742
A0A7S3C640	8.742
A0A7S4AA50	8.742
A0A2U1PRR3	8.742
A0A830BAE5	8.742
A0A7S3U714	8.742
A0A7S3HV91	8.742
