PDB_ID	bits
1zvrA	2.109
5gnhB	1.99
7jrmA	1.489
5t8fA	1.405
3f2zA	1.18
7l0hA	1.051
3a5kA	1.051
6sm5B	1.051
6oe6B	1.051
1pa1A	1.051
2j1aA	1.051
5qelA	0.9914
5gnhA	0.8827
5dfzA	0.8329
8exnA	0.8329
2bgdA	0.8329
1nweA	0.7415
6xe8A	0.7415
5j8rB	0.6997
6o81T	0.6997
6pfwA	0.6997
7l0cA	0.6602
8eyaB	0.5878
3eu0A	0.5546
8exiA	0.5546
2wxkA	0.5233
7vrpJ	0.5233
4qbeA	0.4938
4qapA	0.4659
8sbcA	0.4659
6cwvA	0.4148
6ol4A	0.4148
5ka3A	0.4148
6pg0A	0.3914
4nreA	0.3914
7mowA	0.3914
7kenA	0.3914
6pyrA	0.3914
2r83B	0.3693
5ul1A	0.3693
6xedA	0.3693
1bquA	0.3485
7mn7A	0.3288
6xeeA	0.3288
1bzhA	0.3288
2b49A	0.3288
8f88A	0.3103
5ka7A	0.3103
7ttlD	0.3103
2b4sA	0.3103
