PDB_ID	bits
7ohub	0.001541
7fiiA	0.0009891
8h4kA	0.000818
6uvaA	0.0007207
6x19A	0.0006765
6nbiA	0.0006349
8wc5A	0.0003826
8hcxA	0.0003826
8wcaC	0.0003371
8h0pA	0.0002787
7xwoF	0.0002787
7ezkA	0.0002616
8jipA	0.0002456
7ranB	0.0002305
8hj2A	0.0002164
6wwzA	0.0002031
7xw9A	0.0001906
7wu5A	0.0001789
7vuhA	0.0001789
7x1uB	0.0001789
6mq9C	0.0001576
6g79A	0.0001576
7um7B	0.000148
7xp5A	0.0001224
6n12A	0.0001149
7vabA	0.0001149
7sr8A	0.0001078
1u81A	0.0001012
8wc8A	9.498e-05
8jr9A	8.915e-05
7y26B	8.915e-05
7yfdA	8.368e-05
8hl2AEFG	7.854e-05
7wkdA	7.854e-05
7y27B	6.495e-05
7d68A	6.495e-05
7w56A	6.495e-05
7w57A	6.097e-05
8etgb	6.097e-05
7wy8A	6.097e-05
7dhiA	5.723e-05
7ydhA	5.723e-05
8ejkA	5.371e-05
8wc4A	5.371e-05
8wc7A	5.371e-05
7p02A	4.732e-05
6pb1A	4.732e-05
7l1vA	4.442e-05
4z51A	4.442e-05
6nbhA	4.442e-05
