PDB_ID	bits
3eqxB	9.823
2m30A	9.823
3wgiA	9.177
3ketA	8.573
5afqB	8.573
5x80C	8.573
7ml2W	8.573
3wg9A	8.009
3k1nA	8.009
3keqA	8.009
3hrmB	8.009
7z1nO	8.009
1ku9B	8.009
3zecA	7.482
3wg9D	7.482
7d98Q	6.989
2p4wA	6.989
5hsoD	6.989
3s2wD	6.529
2oqgD	6.529
5wayB	6.1
5looL	6.1
1r1tA	6.1
2kjcB	6.1
4za6B	6.1
5c17A	5.698
6a6iG	5.323
7astX	5.323
3fm5C	5.323
7vbtA	4.973
1aisB	4.973
4ihsC	4.973
4hf1A	4.973
1wsuD	4.973
4pcqB	4.973
4hx7B	4.646
7u5qB	4.646
5zu1B	4.646
7xuxA	4.646
6o8mA	4.646
5loeD	4.34
4hf0B	4.34
4chuB	4.34
5y2vC	4.34
1oltA	4.055
4hx7A	4.055
3j81Z	4.055
6gykM	4.055
5dukA	3.788
3bpxA	3.788
