PDB_ID	bits
6o0nA	9.772
4ogsB	9.772
3dquA	9.772
6zdzA	9.308
7yb1A	9.308
3sj7B	9.308
3tp9B	9.308
1x1tA	8.447
6i3rA	8.447
1w8dD	8.447
8hfjD	8.447
5wuwA	8.447
5wvaA	8.447
6oz7B	8.046
8bciD	8.046
8jf9C	8.046
6wonA	7.665
4yqyB	7.665
2okyA	7.301
1vsgB	7.301
1w8dC	7.301
3zthA	6.955
2belC	6.955
6l7nA	6.955
1w6uD	6.625
5ch8A	6.625
6t3eA	6.625
3i3oH	6.311
4kf5B	6.311
3k32C	6.311
1w8dB	6.012
5gy7B	6.012
6zdzB	6.012
3imkA	5.727
4yqyA	5.727
4c1cA	5.727
4dryA	5.727
3ay6C	5.456
2e18B	5.456
4bmvI	5.456
7btmH	5.456
2ztmC	5.456
5b57D	5.456
8hfkC	5.456
3gmdC	5.456
7ucwB	5.456
7m3eB	5.197
3akoG	5.197
7lj9D	5.197
3edmC	5.197
A0A1X7V197	0.000154
S3DHI0	2.102e-05
A0A1S3F9M9	2.102e-05
A0A1Y2B461	1.908e-05
A0A067N5M9	1.425e-05
P43248	1.294e-05
A0A1Y5I776	1.294e-05
A0A6B2KXE6	1.174e-05
A0A7S3QKU8	1.065e-05
A0A818X0E2	9.207e-06
A0A1B0DQG5	3.485e-06
A0A2L2YMM9	1.086e-06
A0A7S1I565	9.859e-07
I6M4A6	6.685e-07
A0A6M2D0M3	3.073e-07
A0A7S1I6Q6	2.927e-07
A0A0S4J224	2.187e-07
A0A6H5JCL8	1.716e-07
A0A7J7PX65	1.413e-07
A0A1V9ZGN0	1.413e-07
Q6BFM8	1.282e-07
A0A094AL59	1.282e-07
F6YW13	1.282e-07
A0A7J7B1W5	7.514e-08
A0A0K8WK61	3.807e-08
A0A1D1UY34	3.807e-08
A0A0L1KKX1	2.459e-08
A0A832PGL9	2.231e-08
A0A842TLN1	1.837e-08
A0A2D6KWQ7	1.75e-08
A0A7C0WDG7	1.441e-08
A0A7J6M2J4	1.373e-08
A0A1F4U3U9	9.771e-09
A0A3E0KQQ0	8.446e-09
A0A2J6XWR7	7.665e-09
A0A2H5YML2	4.279e-09
A0A2T0BBT1	3.699e-09
A0A231NXG6	3.524e-09
A0A6L8CAA0	3.524e-09
Q1N058	1.785e-09
A0A1Q3TU56	1.62e-09
A0A6L7MP33	1.543e-09
A0A0S3QV28	1.47e-09
A0A354K8B7	1.153e-09
A0A150ZZ96	1.098e-09
A0A136M0L2	1.046e-09
A0A7Y5HAB7	7.818e-10
A0A139D929	7.818e-10
A0A3D4MI45	6.438e-10
A0A117S5C5	5.05e-10
