PDB_ID	bits
1dkyA	9.729
1tz9B	9.729
2f1mB	9.729
2xkoD	9.729
6wkoA	9.729
5j0kA	9.729
2xkoC	9.729
4c2mS	9.087
4aflB	9.087
5kniB	9.087
7uvwX	9.087
7nvmP	9.087
5ng5B	8.488
4dk1A	8.488
2q1kD	8.488
4jasA	7.928
5j73C	7.928
4dk1B	7.928
4ij2F	7.928
7pirA	7.928
8buub	7.405
7y6bD	7.405
4c3hD	6.917
6m3gA	6.917
6exnR	6.461
7y6cD	6.461
5j0kB	6.461
6rrdD	6.035
2f1mA	5.637
6p70D	5.637
4g7hD	5.265
5zwlE	5.265
2uwjE	4.918
2go55	4.918
4aflF	4.918
2j375	4.918
4aflD	4.291
8gzhD	2.661
4v48AW	1.651
2wt7B	0.006574
2wtyA	0.006141
2wtyB	0.003558
4auwB	0.002708
4eotB	0.001279
7x5gE	0.001279
4auwF	0.0009091
4auwA	0.0008492
1k1vA	0.0008492
4eotA	0.000692
3a5tB	0.0002851
Q76MX4	9.829
A0A3B3C124	9.829
A0A6B0REW9	9.829
A0A643C878	9.829
A0A2Y9QN95	9.829
A0A1U7QAT7	9.829
A0A498MQK1	9.18
A0A3Q3CHC0	9.18
A0A4W4E899	9.18
A0A835NV40	9.18
A0A4W4DUF8	9.18
A0A1U8BNL1	9.18
G1KK29	9.18
A0A4U5VTS6	9.18
A0A2I3TJU0	9.18
L8Y459	9.18
A0A7J5Y4I1	9.18
M7BWG6	8.575
A0A3Q1EW47	8.575
A0A1A8LBS2	8.575
A0A662Z3B6	8.009
A0A821D2M3	8.009
A0A384QZ83	8.009
A0A1A7WRL9	8.009
A0A3Q0RKZ0	7.481
A0A315V2P4	6.988
A0A671TMZ5	6.527
A0A315V143	6.527
A0A5N4D4E6	6.097
A0A3P9H4F1	6.097
A0A2D0RTW7	6.097
A0A2I4D0J2	5.319
A0A835ZXM0	5.319
A0A6G0HVY8	5.319
A0A6P9BC08	4.968
A0A674PA34	4.968
A0A401SB46	4.335
A0A3B3SMJ9	4.335
A0A6I8RFN3	4.049
A0A6B0RVA1	4.049
A0A7J6CPS6	3.299
A0A3B4V419	3.082
G3TN76	2.879
A0A4U1FSX0	2.346
A0A5N3WYZ8	2.346
A0A2F0BKR6	2.346
A0A3N0YHF7	1.558
A0A803KCF0	1.558
A0A7R5KYN4	1.27
A0A1A6GYC5	1.108
