PDB_ID	bits
8hkiA	9.182
8hkiE	8.745
5z8qA	6.53
6tqqA	5.119
2aboA	3.822
2o42B	2.349
2vvyA	1.591
2jbyA	1.515
2o42A	1.375
1ohuB	0.5192
4cinB	0.3692
6xy6O	0.3517
2me9A	0.1961
7p33E	0.1464
5vmoA	0.1265
5ua5A	0.1093
4bd7D	0.1041
5ua4A	0.09916
7ccmA	0.08996
1k3kA	0.08569
2me8A	0.08569
4bd8C	0.08162
2y6wA	0.07052
4tuhD	0.07052
7p33C	0.07052
4z9vB	0.07052
8sm5E	0.06717
1ty4B	0.06717
2xpxA	0.06094
6xy4A	0.05804
6uvgL	0.05528
1q59A	0.04777
1zy3A	0.03932
1ohuA	0.03745
2m03A	0.03745
6dcoB	0.03397
4bd7C	0.02936
2mejA	0.02796
6hjlF	0.02796
6uvgI	0.02796
7yaaA	0.02796
4bd8D	0.02663
3io8A	0.02663
1bxlA	0.02192
7jmtB	0.02088
4bd7A	0.01804
4bd8B	0.01804
6uvfI	0.01718
7y8dA	0.01718
1f16A	0.01718
