PDB_ID	bits
2augB	7.795e-07
4eihA	2.329e-07
6amvA	2.329e-07
5d0jD	2.097e-07
4ftaA	7.336e-08
2hw6B	7.336e-08
3dbfA	6.267e-08
5dc4A	4.117e-08
4ftqA	3.337e-08
4fstA	2.566e-08
4ft5A	2.31e-08
7axtA	2.192e-08
4ftmA	1.873e-08
6f14A	1.777e-08
3d5xA	1.777e-08
4ftcA	1.777e-08
3dbeA	1.686e-08
4fsqA	1.44e-08
6cjwA	1.297e-08
4fttA	1.23e-08
6cjeA	1.051e-08
3bhhC	1.051e-08
2hw6A	9.971e-09
3e88B	9.971e-09
8d6cB	8.977e-09
4ekkA	7.669e-09
3f9nA	7.669e-09
3e87B	6.904e-09
4fsrA	6.216e-09
6eruA	5.898e-09
8d6eB	5.898e-09
2ac5A	5.596e-09
7bjxA	5.31e-09
4fsyA	5.31e-09
4c38A	5.038e-09
2cguA	4.78e-09
5dykA	4.304e-09
4fswA	3.874e-09
2ac3A	3.874e-09
1h4lB	3.874e-09
2h34B	3.676e-09
5ezrA	3.676e-09
1cszA	3.488e-09
8d6eA	2.827e-09
8d6cA	2.827e-09
1fotA	2.827e-09
2gdoA	2.827e-09
4ft9A	2.683e-09
6egwA	2.545e-09
4ftrA	2.415e-09
