PDB_ID	bits
1zkpC	9.336
8omqA	8.254
5yatB	7.297
3ikhB	6.452
3ntjA	5.363
2cmuA	5.043
2d4aC	5.043
7jj0D	4.742
4r68C	4.459
8olxA	3.942
4l4uA	3.707
7pvaB	3.707
3thwA	3.485
1ti7A	3.277
7b5rT	3.277
2o8fA	2.897
6hsqD	2.724
3ntjB	2.562
3cfyA	2.409
3wcoB	2.409
3ntjD	2.129
6n7lK	2.129
2i1oA	2.002
7c1zA	2.002
3fgzB	2.002
7pvaD	2.002
4dn6B	2.002
6oecD	1.883
8c9vA	1.883
4l8lA	1.883
1d4zA	1.77
1nxoA	1.664
3m6mF	1.565
3b2nA	1.565
3cqdA	1.565
1u8tB	1.472
3umoA	1.472
1p2fA	1.384
3q15C	1.384
4a10C	1.384
3w9sB	1.384
3cnbC	1.301
4gvpA	1.223
3m6mE	1.223
7pvkD	1.15
1e6kA	1.082
5hevA	1.082
7c1yB	1.082
2plnA	0.8991
4qpjC	0.8991
A0A5J6YR13	0.002903
A0A831PHK9	0.001153
A0A7C5SPD4	0.0007489
A0A522AWA4	0.0006226
A0A7Y2B3I7	0.0004866
A0A850MN05	0.0004303
A0A2H0DNA5	0.0004046
A0A855X4D2	0.0004046
A0A7Y6UF51	0.0003162
A0A2V2N173	0.0002796
A0A7X6AT35	0.0002629
A0A6I0ERV2	0.0002629
A0A7C7PH20	0.0002324
A0A7V9I8X0	0.0002185
A0A7K4CG00	0.0001708
A0A7C7XHH0	0.0001606
A0A1F8RCH2	0.000151
A0A3B9HF81	0.0001335
A0A1F6GMU8	0.0001181
A0A2N6BBG9	0.0001044
A0A3D2WDI8	6.377e-05
A0A3D8P2Y5	5.996e-05
A0A539DUZ8	5.996e-05
A0A3A0A2H3	4.687e-05
A0A7V3SPX9	3.896e-05
A0A3C1ZNV2	2.864e-05
A0A1G3B5S1	2.693e-05
A0A202DLR2	2.693e-05
A0A496QGY8	2.381e-05
A0A2E5ET42	2.239e-05
A0A2E6MLP8	2.239e-05
A0A7Z9M0N0	2.239e-05
C1KVS7	1.75e-05
A0A7C7M3B3	1.75e-05
A0A374BPU4	1.75e-05
A0A3L7JXX0	1.645e-05
A0A7J2KV44	1.547e-05
A0A432FC02	1.368e-05
A0A373ZRA5	1.368e-05
A0A3D1LTZ8	1.286e-05
A0A7C6DED1	1.286e-05
A0A7V7K092	1.005e-05
A0A8B4QAS6	9.452e-06
A0A7C2P4Q3	8.888e-06
A0A800F9G9	7.858e-06
A0A2A8IFB8	7.388e-06
A0A2A4SX51	6.947e-06
A0A1F9UEX3	6.947e-06
A0A1Y3PQT9	6.532e-06
A0A1F9VM93	6.142e-06
