PDB_ID	bits
3pxkA	9.704
6vg3C	9.704
1m6uA	9.704
7snrB	9.704
7snsD	9.704
7mjbB	9.159
6yvyA	9.159
6gfgA	9.159
4qw2A	9.159
6acaA	9.159
8c1vD	9.159
6yt6B	9.159
6gcwA	9.159
5ifdA	8.645
7snyA	8.645
4a4zA	8.159
4ovaC	8.159
1n27A	8.159
4l1uC	8.159
2m0oA	8.159
7n40B	7.701
6drdB	7.701
7vsxA	7.701
3a60A	7.268
1zq1B	7.268
5v2nA	7.268
2xalA	7.268
7undR	7.268
1rtiB	6.86
4v8mBZ	6.86
4nusA	6.86
2rnzA	6.86
3lvpD	6.86
3w3wA	6.86
4dowA	6.86
2xamB	6.474
2m02A	6.474
6g78B	6.111
2vc8A	6.111
7snxA	6.111
5fzyA	6.111
6y0cA	6.111
6if4A	5.767
3kmsA	5.767
5d9kA	5.443
3w3yA	5.443
6l8lA	5.443
7s7cA	5.443
2fb7A	5.443
2xarA	5.138
