PDB_ID	bits
8i87O	9.709
6matE	9.155
3qmvB	9.155
2i6fC	8.632
2nzyB	8.632
3l40B	8.632
8sp0E	8.632
4mkjA	8.632
6z1aB	8.632
8sf5A	8.139
5hhtB	8.139
1b6sA	8.139
4pzuB	8.139
1b6rA	8.139
5d5sA	8.139
3r75A	7.675
1qzzA	7.675
4mkkA	7.675
4p0tA	7.675
6jlyC	7.236
7m4sD	7.236
6wceA	7.236
5jpoC	7.236
6k71B	7.236
1up7E	6.823
2e5xA	6.823
5eucC	6.434
5jpoA	6.434
3d54D	6.434
2ywcD	6.434
5ksrD	6.066
1fp1D	6.066
3eanD	5.72
7mgvB	5.72
5m3zA	5.72
6s0cA	5.72
5i2hA	5.393
4rj0A	5.393
6jlzD	5.393
6o9zC	5.085
2hjrB	4.795
3r74A	4.795
6vgbA	4.795
2c46D	4.521
7sbcA	4.521
6k8cA	4.263
3sirC	4.263
3r76A	4.263
2h00C	4.263
3p52B	4.02
A0A672RM13	0.0002488
A0A672RM08	0.0001555
A0A672RL17	0.0001382
A0A673X9E4	0.0001303
A0A4W4GPU6	4.265e-05
L5LPY4	1.04e-05
A0A674PJ06	9.248e-06
A0A662YUH9	8.72e-06
M7B3G9	6.893e-06
A0A2G8JRS0	6.499e-06
A0A822HCK2	3.026e-06
A0A663MEV9	2.537e-06
A0A7J7JNN7	2.256e-06
A0A3Q4GEA6	2.127e-06
G3XFX2	2.005e-06
A0A0B7A1T4	1.585e-06
A0A1Y1ZCG1	4.891e-07
A0A3P4MC84	4.1e-07
A0A1V9ZDV5	4.1e-07
A0A3L7H3E8	3.437e-07
A0A3N0XKQ6	2.881e-07
A0A137P054	2.147e-07
A0A7S3Q1C7	1.601e-07
A0A0K9H058	1.423e-07
A0A7J4FYT2	1.193e-07
A0A537DTU7	1e-07
A0A5N4C2U4	9.429e-08
A0A1H2XHD5	7.904e-08
A0A176J4F4	7.027e-08
A0A2C0ZD75	6.248e-08
A0A1R1PGZ8	5.891e-08
A0A6G1LAJ4	4.14e-08
A0A3M7ENG0	2.439e-08
A0A1Y2DZ83	2.168e-08
A0A7C5A1H6	1.437e-08
A0A2L2X5J4	1.277e-08
A0A3B1CWP0	1.204e-08
A0A6J3LYI4	1.071e-08
A0A136JIC8	1.071e-08
B8LTU8	1.01e-08
A0A177CJ93	8.977e-09
A0A4V1LV25	6.691e-09
A0A4V1M4Z1	6.309e-09
A0A194SA71	6.309e-09
A0A319A0A8	5.289e-09
A0A4Q4WDQ7	4.18e-09
A0A0D2GWD4	3.942e-09
A0A2H5YCR0	3.504e-09
W7I9L4	3.116e-09
A0A2K3PF64	3.116e-09
