PDB_ID	bits
5innC	9.682
3rd6B	9.682
4r1mB	9.682
8cdlg	9.682
3ggnA	9.682
5y4gB	9.078
4v6uAC	9.078
8p1xAAA	8.511
8graC	8.511
5w40C	8.511
4o3xB	7.98
5nqxE	7.98
5nqxB	7.482
4ayeF	7.482
7uaiA	7.482
4o4uB	7.016
5y7cB	7.016
4jmdB	7.016
4o4xB	7.016
4x7rA	6.578
5nqxD	6.578
6ha2A	6.167
6jcoB	6.167
4o4uC	6.167
7r7fA	6.167
4rvnD	5.422
6xzwD	5.422
5ynwA	5.084
6venM	5.084
5ynvB	4.766
4aydF	4.766
6qbfA	4.766
7r7eB	4.19
6q9zA	4.19
5ynwB	4.19
3ffnB	4.19
4o4uD	3.929
6gp6B	3.929
5yntA	3.929
6h1fB	3.684
5y7cA	3.684
6qw3A	3.684
4ee6B	3.684
2gjtB	3.684
5ay6B	3.684
1d0nA	3.684
5w3yC	3.684
4av8A	3.454
6jehA	3.454
6q9zB	3.454
