PDB_ID	bits
6gtsC	8.601
6a8rB	7.332
3zpvB	2.813
7ycwA	0.7238
7b22C	0.7238
7b22H	0.7238
7b22A	0.5697
7ycwD	0.4139
8c24E	0.3822
3kxeD	0.002307
7ycuD	0.0006965
7ycsD	0.0004672
A0A4Y8R7J3	9.687
W0IM55	9.687
K0Q5S3	9.687
A0A7Y2T8K4	9.687
A0A6P0S5P1	9.687
A0A0F2P4C6	9.687
A0A139WZU8	9.687
A0A4Q0MNY8	9.687
A0A0C2YT09	9.687
A0A4R3A178	9.687
A0A7C2L4S1	8.944
A0A523IK20	8.944
X1G7Q0	8.944
A0A8B3MUN6	8.944
A0A1G6VR75	8.258
A0A1M6FHG4	8.258
A0A1Q7RYS9	8.258
A0A2W6UC05	7.624
A0A6J4PFQ1	7.624
A0A512IN19	7.624
A0A3C0M933	7.624
N6VQ77	7.624
A0A7V6XI89	7.624
A0A0Q5YPF0	7.624
A0A7R6WWC0	7.624
Q7UFD2	7.039
A0A7W8XM33	7.039
U4TNY7	7.039
A0A2U3KDK4	7.039
A0A3C1VB23	7.039
A0A2S8GUF4	6.499
A0A832HF34	6.499
A0A849RFF3	6.499
A0A3R5Y6D5	6.0
A0A1H8YFT7	6.0
A0A232LLT0	6.0
A0A832FQF6	5.54
A0A517ZIV7	5.54
A0A534IVD6	5.54
A0A0Q4KSB6	5.54
A0A2U8WFH0	5.54
A0A0F5RG21	5.115
A0A7V8BW14	5.115
A0A7J2YXX2	5.115
A0A7G9YI86	5.115
I4Z0Z1	5.115
R9MLV0	4.722
A0A1S7LIJ6	4.36
A0A6N8Y8G4	4.36
A0A7J4CZ62	4.36
