PDB_ID	bits
1j7eA	9.837
7kekL	9.837
8aa9A	9.837
8aa9B	9.837
4wa6F	9.837
3rv1B	9.837
3rv0B	9.837
4e0cA	9.226
3rv0C	9.226
7deyA	8.654
1ma9A	8.117
7k5bL	8.117
4rvqA	7.613
3rv0D	7.613
2m0mB	7.613
1j78A	7.14
8fkzLD	7.14
1j7eB	7.14
1kxpD	7.14
1lotA	5.891
2oerA	5.891
3tq6A	2.561
6zm7CE	2.402
1k99A	2.402
8an5C	1.859
6zmeCE	1.859
3fghA	0.9186
6cg0N	0.9186
2yukA	0.9186
6erqG	0.8081
1aabA	0.758
5zdzN	0.7109
2hdzA	0.5502
2ctoA	0.484
1v64A	0.454
1v63A	0.3994
6oemH	0.2899
6oenH	0.255
7ploI	0.126
2ly4A	0.1182
2eqzA	0.1182
5vweA	0.1182
1hmaA	0.1109
2rtuA	0.08579
2crjA	0.08579
1wxlA	0.08579
3nm9A	0.08579
4qr9B	0.07547
6l34A	0.07078
2d7lA	0.05841
