PDB_ID	bits
1gm0A	9.465
8ae1A	8.993
7qooP	7.326
4xuuD	6.612
7dzlB	5.387
6qhgB	3.065
5cd6A	2.497
4ttwA	1.574
5xfmA	1.574
5hqaA	1.219
5hqcA	0.9927
5hqbA	0.8512
6xyaB	0.7299
6z6bEEE	0.3749
6z6bPPP	0.2902
6t0wC	0.0003903
2gmoA	0.0002726
4chfB	0.0001552
2jdqE	8.388e-05
2jdqD	2.716e-05
4uafE	2.581e-05
4uadE	2.213e-05
4uaeF	1.898e-05
6xzqF	4.048e-08
7z4oCCC	7.461e-09
6qx3C	4.704e-09
7zpmF	8.236e-10
7zplF	6.374e-10
6t2cC	8.206e-11
6tu5FFF	5.386e-14
6tu5CCC	2.912e-14
6qwlQ	5.098e-15
6kv5C	3.749e-15
5efcA	2.488e-15
6kuvC	1.416e-15
2vy8A	1.037e-16
4or6B	5.902e-17
4oroC	5.061e-17
2vy7A	4.324e-18
6euxA	2.461e-18
4wrtC	3.846e-22
5jurA	7.087e-23
7xmeA	1.0639999999999999e-23
7xmeB	7.433e-24
7xmeD	6.0549999999999996e-24
4cb7B	1.597e-24
5eg9B	5.445e-25
2vqzF	5.173e-25
5junA	4.915e-25
4p1uA	4.004e-25
A0A2V5ISC9	9.7
A0A7K3LI57	9.7
A0A1Y1MHH5	9.7
W8C842	9.7
A0A653BU22	9.7
A0A7K3LI53	9.7
A0A0K8W015	9.7
A0A1Y1LLX0	9.7
A0A1Y1LJK8	9.7
A0A3G9MHH9	9.7
A0A821UIJ0	9.7
A0A7J6X2V0	9.7
A0A2H6H4Q1	9.7
A0A4D9DMP8	9.7
A0A7J0FX62	9.7
A0A3D4D1P1	9.7
A0A3Q0IXV8	9.7
A0A5N4DJ80	9.7
A0A5C3NJ56	9.7
A0A388MFM1	9.7
A0A317VTJ4	9.7
A0A7C7CT75	9.7
A0A446N5D7	9.7
A0A3B6ECB0	9.7
A0A117K9N7	9.7
A0A5N5GI09	9.7
A0A178EQK1	9.7
A0A6B3YAA9	9.7
A0A5J4TA66	9.7
A0A7V6C712	9.7
A0A3D4QP76	9.216
A0A2V7JPL4	9.216
A0A2T5J4Y4	9.216
A0A843HQX9	9.216
A0A2C9W3I8	9.216
A0A498K3H1	9.216
A0A220MMX9	9.216
A0A6A6KGQ9	9.216
A0A261GP04	9.216
D1AK29	9.216
A0A849D2N7	9.216
A0A132H897	9.216
A0A2N3HF21	9.216
A0A3D0FSE8	9.216
A0A643FGE1	9.216
A0A1Z7YS73	9.216
A0A1M7A8M2	9.216
A0A7S4SFP2	9.216
A8WVZ4	9.216
A0A7S0JQD7	9.216
