PDB_ID	bits
4hnuA	9.496
4r4zA	9.496
3iapC	9.496
6d4dA	9.496
4gs0B	9.496
2ggiA	9.496
7vxgC	9.496
5ibsB	9.496
1xdfB	9.496
1lf7A	9.496
4m6vB	9.496
2v0sA	9.496
5l5gD	9.496
6kr4C	9.496
7mq9LF	9.496
4cy8A	9.496
4r4xA	9.496
2elbA	9.496
6wvkD	9.496
2ofjD	9.496
3bg5C	9.496
5l8sD	9.496
2ggjA	9.496
4mfeB	9.496
5wtqD	8.92
6bn5A	8.92
3cpfA	8.92
1yguB	8.92
6zukC	8.92
4d2tB	8.92
3f9sB	8.92
4mb5A	8.92
4cy8C	8.92
6x1qA	8.92
3f8xC	8.92
7pi7A	8.92
4reiA	8.92
7r7dB	8.92
5w0mB	8.92
7p3qA	8.92
4mfeD	8.92
3j7yQ	8.92
4jx6A	8.92
6mdbA	8.92
5tihA	8.38
3zeuA	8.38
8gwhA	8.38
8wfyA	8.38
6d4dB	8.38
4y0wC	8.38
A0A851NU05	0.003078
B4DDF3	0.002397
A0A7L1BZS3	0.001987
A0A7K8TK95	0.001867
A0A7K6Z1S7	0.001454
A0A226MBQ2	0.001454
A0A7K9Y366	0.001366
A0A2D4LQH6	0.001283
A0A091QM00	0.001205
A0A2D4K8Z4	0.001064
A0A7J8I801	0.0009993
A0A803WAN4	0.0009993
B4DFG4	0.0009387
A0A7L3NNH1	0.0009387
A0A1A8NA59	0.0008818
V8ND82	0.0008284
A0A1D5PR95	0.0007782
A0A7J7EFH4	0.0007311
A0A3Q2U3E6	0.0006868
A0A674HGA8	0.0006452
A0A2D4LQ24	0.0006061
A0A7J7TA25	0.0005694
A0A1S3GLA8	0.0005349
A0A0S7HJN5	0.0005349
A0A2F0B0H1	0.0005349
A0A7L2G628	0.0005349
A0A1S2ZXE0	0.0005025
A0A673UR65	0.000472
A0A3B3UM88	0.000472
A0A1A6GY02	0.000472
A0A669QAX8	0.000472
A0A835TLN5	0.0004434
A0A2D4LPZ5	0.0004434
A0A673GDF7	0.0004434
A0A674GUZ8	0.0004166
A0A0S7HGB0	0.0004166
A0A1V4KEK1	0.0004166
A0A444V0T4	0.0004166
A0A1A8NAQ0	0.0003913
A0A060Y0P4	0.0003913
A0A6G1RKF4	0.0003913
A0A444V872	0.0003913
A0A668W0C6	0.0003913
A0A6I8PFN6	0.0003913
A0A6Q2YIK8	0.0003676
A0A3B3RZ47	0.0003676
A0A0S7G8A6	0.0003676
A0A672L1C4	0.0003676
A0A671R7U4	0.0003676
A0A6I9PN39	0.0003453
