PDB_ID	bits
8glvPF	9.684
6u426U	9.684
3aohI	9.684
2jooA	9.684
4aezD	9.684
6kcoE	9.684
7q5bB	9.684
4rs4B	9.684
4aezA	9.684
7u32A	9.684
6d3kC	9.684
3da1A	9.684
8a5iT	9.684
1kk8A	9.684
6bwtA	9.684
1cjxD	9.684
5wu4B	9.684
5kktB	9.684
6u426V	9.684
5mh4A	9.09
1bssA	9.09
7x8eE	9.09
8e29A	9.09
8e2aA	9.09
6c5wB	9.09
6bpiA	9.09
8apoXc	9.09
6lt0E	9.09
6ukkA	9.09
6u426Y	9.09
3clyA	9.09
6we7A	8.532
1hyuA	8.532
5yvdA	8.532
6bnmA	8.532
5ohqA	8.532
8btrSO	8.532
5xaxA	8.532
3m1cB	8.008
6u426T	8.008
2qreA	8.008
7kuiG	8.008
1e8sA	8.008
3llhB	8.008
6vlhA	8.008
8h8bA	8.008
2a6hN	8.008
7l5mB	7.517
6xu7AX	7.517
5l37C	7.517
