PDB_ID	bits
8a1gB	9.873
6z0cD	8.923
6ixgB	8.923
6ek8A	3.59
7jh6D	3.085
8bhfn1	2.396
6qpqC	0.141
6zz6B	0.05129
5xg3B	0.03786
6qj0A	0.03093
6qpwC	0.02171
7q2yA	0.01773
6qj1A	0.01069
7p34B	0.005267
5xnsA	0.0007706
5h68B	0.00042
7q2yB	0.0003431
1e69A	0.0001312
5h68A	0.0001248
8idbB	5.28e-05
5ykeB	4.772e-05
6jb3B	1.92e-05
4i99A	1.418e-05
4i99B	9.949e-06
7b7dEF	3.618e-06
2ix8A	3.035e-07
6ha8V	1.83e-07
7nhk0	1.572e-07
2pjzA	1.495e-07
6s47Bi	1.161e-07
3j5sD	7.745e-08
7f04A	3.627e-08
7mdxD	2.187e-08
2awoD	1.024e-08
2awnD	7.562e-09
5nj3A	7.189e-09
2ix3B	6.177e-09
8ce5A	5.582e-09
7mshx	5.582e-09
8buu9	3.918e-09
8i38B	3.918e-09
6r84A	3.042e-09
8i3bB	2.892e-09
7r8bB	2.75e-09
7jr7B	2.614e-09
5zxdB	2.135e-09
7p03A	1.744e-09
7r88B	1.744e-09
7lb8C	1.499e-09
7tbyA	1.164e-09
