PDB_ID	bits
4dq4A	9.569
6o7yA	9.569
7bogQ	9.569
3dtzB	9.569
6spcq	9.569
4azaA	9.125
3bf4B	8.702
3dtzA	8.702
7nhnr	8.702
4rx6B	8.298
6nukB	8.298
7d8bC	8.298
1mu2A	7.913
4wx8C	7.913
2jpiA	7.546
4wzsD	7.196
7enaDP	7.196
6ylrB	6.862
6wi5B	6.544
4r25A	6.24
2qieH	5.951
1eetA	5.675
2q5wE	5.412
5uv5C	4.921
7d6nD	4.07
1yz6A	3.881
5ovnA	3.529
5uv5A	3.529
1ikxA	3.06
6kdoA	2.093
6ujzA	1.996
5hbmB	1.815
4zhrA	1.574
6kdjC	1.501
7dbmA	0.9788
7sr6F	0.8901
6ik9A	0.48
8dwmA	0.2354
5ccv_D	0.2245
5dmqA	0.1856
4mh8A	0.09547
1nndA	0.09547
7v99A	0.09104
4hkqA	0.08682
4xpcA	0.08682
1i6jA	0.07529
6b1sB	0.07179
3fsiA	0.06529
4xpeA	0.06226
6b1sA	0.0491
A0A2S3ZQR1	9.624
A0A1Y1LYC1	9.624
W8CDN0	9.624
A0A6A4KM40	9.624
A0A2R7X149	9.624
A0A2J7QCB4	9.178
A0A7R9B971	9.178
A0A146LTM6	8.752
A0A821XN73	8.346
A0A7R9JIE8	7.59
A0A5P9Q581	7.59
A0A0H3VIP2	7.59
A0A3G9MG16	7.238
A0A7K3LIU2	7.238
A0A821UIG9	6.582
A0A7J6QMN5	6.276
A0A2J7QFZ1	5.985
A0A2V0RLN6	5.708
A0A669CKK2	5.708
A0A5C9BD35	5.708
X0ZU56	5.443
A0A4Y2S5U3	5.443
A0A023FIQ1	4.949
A0A7J6QAG6	4.949
A0A3B3CGC5	4.501
A0A0J7K0D2	4.292
A0A336LT52	4.292
A0A821SS96	3.903
A0A2S7MV48	3.903
A0A813MIQ0	3.549
A0A6A5BKJ1	3.385
A0A669CNN6	3.385
A0A821U4Q8	3.078
A0A7D9LRW2	2.935
A0A3B3DTT0	2.545
A0A2D4XYC6	2.427
A0A1L6LA82	2.427
A0A4W3GF16	2.315
A0A2J7QG29	2.007
A0A1B6LTP1	1.914
A0A812IA77	1.914
A0A3P9HCZ6	1.583
A0A2X0LBM7	1.373
A0A4Y2L379	1.373
A0A6Q2XJZ7	1.309
A0A6L2PTT0	1.19
A0A0S2ID38	1.135
A0A4Y2QGW9	1.032
A0A1B6GF28	0.9844
A0A1B6MJH8	0.9844
