PDB_ID	bits
1fioA	6.362
5l43B	0.0004837
2qr4B	2.847e-05
2qr4A	5.116e-06
2h1jB	1.03e-07
5lv0A	9.453e-08
3ahoA	4.366e-08
5luzA	4.366e-08
3sksA	4.366e-08
7a03A	3.677e-08
4fxyP	3.375e-08
3ce2A	3.233e-08
5lv0B	2.499e-08
5luzB	1.698e-08
2o3eA	1.313e-08
3dwcD	1.205e-08
3hq2B	1.015e-08
3dwcB	9.722e-09
1i1iP	5.565e-09
5givC	2.8e-09
2o36A	2.26e-09
5e3xA	6.509e-10
1s4bP	4.424e-10
5wvuA	1.875e-10
1j37B	3.767e-41
8t22D	1.182e-41
6s1zA	2.7480000000000002e-42
6s1yA	9.667e-44
2c6nA	5.533999999999999e-44
2c6nB	1.813e-44
2x92A	5.452e-45
6tt1B	1.946e-45
8t23A	1.639e-45
6tt3B	1.1139999999999999e-45
6tt4A	3.209e-46
2ydmA	3.209e-46
8qfxB	2.822e-46
7q4eA	2.7030000000000003e-46
6en6A	2.481e-46
6tt1A	2.0900000000000002e-46
6en6D	1.837e-46
6tt3A	1.6860000000000001e-46
6f9rB	1.4820000000000001e-46
7q26B	1.248e-46
7q4cA	1.196e-46
6tt4B	7.786999999999999e-47
4c2qA	6.282999999999999e-47
5amcA	6.282999999999999e-47
8qfxC	6.282999999999999e-47
6en5B	6.019e-47
