PDB_ID	bits
8e22X	9.659
1v8iA	9.659
2bg2A	9.659
6ljdC	9.659
6dn4A	9.659
6ejfP	9.659
7aohG	9.659
1kcqA	9.045
6h5kA	9.045
3vqzA	8.47
3x3nA	7.932
6nc5A	7.932
7dgqK	7.932
6qw3A	7.932
6g55A	7.428
3pnqB	7.428
4alzA	7.428
5klpC	6.956
8ow1PP	6.956
6g5eA	6.101
5vrvD	6.101
6h5vA	6.101
7f47A	6.101
3w66A	5.713
6e0sA	5.713
5wmiA	5.35
3w5zA	5.35
6g64A	5.35
5vrvA	5.01
6h9tA	4.692
6gzzX3	4.394
3w65A	4.394
5vrvE	4.115
4oycA	3.379
7f3nA	3.379
5vfyD	2.434
7vlmA	1.537
2czrA	0.9709
A0A6F9XJG2	9.747
A0A4P6YX03	9.747
A0A173VS06	9.747
A0A5B9T991	9.747
R7F753	9.747
A0A3C0J9H0	9.747
A0A1S6U5Z1	9.747
A0A2W0CC45	9.747
A0A845XG88	9.747
A0A4P5QV97	9.747
A0A3C1HYG4	9.747
A0A1W6WCN4	9.747
A0A7J2VWD0	9.747
A2R8H5	9.747
S3L5K6	9.747
U2R024	9.747
A0A178GT89	9.747
G0QLM3	9.747
A0A0G1Z0U7	9.747
V4AL01	9.747
A0A3N0ZUF9	9.747
A0A7J2TYM6	9.747
A0A8B3S1I1	9.747
A0A0R2ASF9	9.747
A0A1H3JCI8	9.747
A0A1V2N335	9.747
A0A3M9VT63	9.747
A0A4Y4M4T9	9.747
A0A6M1NUQ3	9.747
A0A418MF58	9.747
A0A402D6Q4	9.747
A0A7C1FC50	9.747
A0A3R6YLZ8	9.747
A0A1V1NQX1	9.747
V8C273	9.747
A0A357I6X3	9.747
A0A523CZ70	9.747
Q4EBL6	9.747
M9WVW6	9.747
A0A396GTE8	9.747
A0A2Z7BXV3	9.747
H1DCK5	9.747
A0A6H2NT08	9.747
A0A543IK82	9.747
A0A6A5W8G0	9.747
A0A2R6JK78	9.128
A0A095YRP5	9.128
A0A448XIZ8	9.128
A0A139IV19	9.128
A0A1J1D0Q3	9.128
