PDB_ID	bits
4logA	0.001323
6v87B	0.0006219
7rs3A	0.000569
6df6C	0.0004359
7rs3B	0.0003195
4q50D	0.0002923
5u2bE	0.0002049
7rs1A	0.000196
5tm9B	0.0001875
1hj1A	0.0001875
6df6A	0.0001875
4q13B	0.0001794
8dugB	0.0001794
6petA	0.0001641
6dfnB	0.0001502
4dorA	0.0001502
5tm4B	0.0001436
7msaB	0.0001436
7rryA	0.0001374
2jf9B	0.0001314
2jf9A	0.0001314
2jfaA	0.0001203
7msaA	0.0001203
6psjB	0.000115
5aauA	0.000115
4q50F	0.00011
7msaD	0.00011
5ak2A	0.0001053
3os8B	0.0001053
7rs3D	9.632e-05
6dfnA	9.632e-05
7rs9C	8.814e-05
2qtuA	8.431e-05
8dv7A	8.431e-05
2qe4B	8.431e-05
1l2jA	8.431e-05
6df6D	8.065e-05
2qxsA	8.065e-05
5accA	7.714e-05
2q70A	7.379e-05
3os8D	7.379e-05
1l2jB	7.059e-05
7ujcA	7.059e-05
3k22A	7.059e-05
2jf9C	7.059e-05
5uc3B	6.752e-05
3dt3A	6.752e-05
7qvjA	6.752e-05
7rs1C	6.752e-05
7rs2A	6.752e-05
