PDB_ID	bits
1cunC	9.53
6h2eQ	9.025
5n7iB	9.025
8fvtB	8.548
1jchA	8.548
8e00A	8.095
4j2cA	8.095
6z6oC	7.666
6jflB	7.666
4i17A	7.666
7v9bA	7.666
3lw1A	7.26
7obkA	6.876
6vadA	6.512
2k48A	6.167
4tx5A	6.167
3sogA	5.841
7q83B	5.531
4g0hA	5.531
6r1jD	5.531
5szhA	5.531
8qt5F	4.961
4n84B	4.698
4dvyP	4.698
6jx6A	4.698
6tb3BW	4.45
7a0gHHH	4.45
5j1gA	4.214
5j4oA	3.58
1ujwB	2.88
1o5hB	2.727
5uloB	2.446
3axyD	2.194
1s35A	2.078
2pfdA	1.765
5n6nB	1.499
8ancA	1.142
2ysuB	1.024
1denA	0.03151
2ca7A	0.01732
2m01A	0.009015
3fp7J	0.005834
1jc6A	0.005834
7v1nK	0.004956
1ld6A	0.004445
1bunB	0.004445
4ntwB	0.004445
2m99A	0.003987
2ddiA	0.003776
1y62B	0.003576
