PDB_ID	bits
3r6nB	6.92
7dniB	3.606
4gmdA	1.78
1n05A	0.9276
6gwmA	0.569
8eglL	0.266
4gvdA	0.192
4dwnB	0.1631
6n1iA	0.1464
2egkD	0.1001
6mksA	0.0648
2j41D	0.06138
8aaoB	0.05813
4qrhA	0.05506
2j41C	0.05506
2os6A	0.05215
2j41A	0.05215
6ak2A	0.03765
7ftaD	0.03377
7pe7I	0.03199
1znxA	0.03199
1z8fA	0.02718
8blvB	0.02718
7pecI	0.02438
2j41B	0.02309
6wctC	0.02187
8hckA	0.01667
7sqc1C	0.01416
6ak2B	0.01341
4z33B	0.01271
2dlsA	0.01271
8eglB	0.01203
2vz5A	0.01022
3tauB	0.01022
8eglK	0.008228
6x20A	0.006621
2omjA	0.006271
7u5fC	0.00594
7sqc1D	0.00594
1whdA	0.005626
3tr0A	0.005328
6x1xA	0.005047
6x22A	0.00478
7sqc1A	0.00478
8eglH	0.00478
4qrhC	0.003643
8eglJ	0.003451
5a2pB	0.003268
5f3xA	0.003095
6qjlB	0.00263
G3GVE3	9.898
A0A6J3Q0P4	6.768
A0A0D9RYG2	6.768
A0A7J7XE84	0.1779
A0A667Y4J5	0.01312
A0A7K9H6T8	0.006133
A0A6P7IU04	0.003375
A0A4W4DMD5	0.002867
A0A7L1JWW8	0.001666
A0A3L7HQ24	0.0009677
A0A672Y525	0.0005622
A0A3P9M0W4	0.0005325
A0A674DLE0	0.0004524
A0A4W2DZ48	0.0004524
A0A444UN89	0.0003844
A0A674DMX9	0.0003266
A0A2I4BKR7	2.993e-05
A0A5C6NRI7	1.939e-05
A0A6J0UFW3	1.478e-05
A0A3B5MHD0	1.189e-05
A0A1A8RW36	4.473e-06
A0A672KI41	1.981e-06
A0A4Z2G2W3	1.354e-06
A0A2Y9GYX1	1.09e-06
A0A5N3URI6	7.452e-07
A0A2F0BMW2	3.678e-07
A0A6P7YMB1	2.803e-07
A0A835NSR4	1.543e-07
A0A6P8SGK6	1.311e-07
Q99KF0	9.989e-08
A0A384AEW7	8.039e-08
A0A481AH44	7.614e-08
A0A401PJ73	5.206e-08
F7H1F2	3.758e-08
A0A401SNQ5	2.713e-08
A0A6G1QD70	2.434e-08
H3BE60	2.434e-08
A0A1L8ETD2	1.664e-08
A0A4W3KGX4	1.268e-08
A0A672RGR0	1.138e-08
A0A6A4T0R3	1.021e-08
A0A3L7H9U1	8.672e-09
A0A2D0S521	8.214e-09
A0A5N3VHV5	7.779e-09
A0A6P7YMR1	7.368e-09
A0A6I9Y447	7.368e-09
A0A7K7AQX4	4.772e-09
A0A384AEW0	4.054e-09
G3UTY6	3.637e-09
A0A5N4D6H3	3.09e-09
