PDB_ID	bits
1quqA	9.861
2vwjA	9.861
3rnuD	9.861
8aluA	9.861
4cj2D	9.861
5uahD	9.861
6koi_V	9.861
4yfxD	9.861
7rdqD	9.861
1sk6A	9.861
2vwkA	9.861
8jpdG	9.861
1h9rA	9.248
6n58J	9.248
5kuiA	9.248
7ox5A	9.248
5ui8J	9.248
5dv7C	9.248
5yvqA	9.248
3cfiB	9.248
6ucaA	9.248
3cjtG	9.248
8sojB	8.674
3hpbA	8.674
6j9fD	8.674
4jbkA	8.674
4xszJ	8.674
2lt7A	8.674
3gd3A	8.674
1k90C	8.674
1whqA	8.674
3cfiE	8.135
1sp4B	8.135
1sk6C	8.135
5b0vA	7.629
6o5bI	7.629
3b6yB	7.629
3cjtO	7.629
2ippB	7.629
4yfnD	7.629
4lnqB	7.155
4jbjA	7.155
5k5yA	7.155
1k93B	7.155
5xj0D	7.155
4mk0A	7.155
2v6vB	7.155
1xfuB	7.155
4p78D	6.711
4joiA	6.711
A0A0S2Z4Q9	0.1021
W5N8X2	0.08984
M0RAR7	0.06114
A0A096NTA2	0.05734
A0A553MT44	0.05044
A0A3Q1MDR6	0.0473
A0A218ULP2	0.03902
F6YF57	0.03902
B7ZUU4	0.0366
A0A401S496	0.0366
Q4RJJ7	0.03433
A0A3Q2Y7W9	0.03219
A0A7J6ABU2	0.03219
A0A060WFT2	0.03019
A0A3B1JT44	0.03019
A0A1A8GPJ7	0.03019
A0A3Q3VZP2	0.03019
A0A3B4YIA1	0.02832
A0A0S7FVI1	0.02832
Q98SI6	0.02656
A0A6P8UU22	0.02656
A0A821FW60	0.02656
A0A3B4F1F7	0.02491
A0A3B4A6X6	0.02491
A0A3B5AHH8	0.02491
A0A6I9MQS7	0.02491
A0A3B3S424	0.02336
A0A2D4GBM4	0.02191
A0A6G0JBP8	0.02191
A0A3B3WE51	0.02055
A0A3B4D5J3	0.02055
A0A6I9PWP2	0.02055
U6CXM7	0.02055
A0A401NNW9	0.02055
A0A674P2B1	0.02055
A0A493T8L9	0.02055
A0A553MX47	0.01927
A0A6A4W361	0.01927
A0A822H5T9	0.01927
F0J954	0.01927
Q8VDS3	0.01807
A0A6P8QEU9	0.01807
A0A4Y2DUN4	0.01807
A0A1V4J9Q5	0.01807
A0A4X2JW49	0.01695
A0A6P4Y2S7	0.01695
A0A6J0WII1	0.01695
F6PZN1	0.01695
A0A669QJV0	0.01695
G1KH52	0.01695
