PDB_ID	bits
3n10A	9.79
1t0hA	9.79
6on5A	9.79
5e0uC	9.79
6cx4A	9.79
8damA	9.79
6qh1A	9.79
5momA	9.79
7tibG	9.79
7bu9G	9.79
5m1uA	9.79
5z4gB	9.79
6d0rA	9.79
2ftbA	9.79
7m5mC	9.222
2oq0C	9.222
5v7lA	9.222
6vbv1	9.222
5v2qA	9.222
5yzpA	9.222
7ur8A	9.222
6ybt1	9.222
5hlmA	8.688
6cbiC	8.688
6rd47	8.688
3qr1A	8.688
2d8hA	8.688
7kc0E	8.688
8aphC1	8.688
8e84C	8.688
6fcnA	8.184
3aohD	8.184
1vytB	8.184
6on7B	8.184
5v7mA	8.184
7qo1F	7.709
7bqzG	7.709
5e0tC	7.709
5yd8X	7.709
6w9wA	7.709
6cx2A	7.709
3f1wA	7.709
2a6hN	7.709
7bqzA	7.709
5jsgB	7.709
4zw2A	7.709
2zvwE	7.262
4m8rA	7.262
7nerA	7.262
7pmaA	7.262
