PDB_ID	bits
2eczA	0.00034
2ct3A	0.0002357
2d8hA	0.0001257
2cucA	4.648e-05
8bq3A	1.468e-05
4afzD	2.748e-06
4ag2D	1.253e-06
3cqtA	1.071e-06
1azgB	8.682e-07
4afzC	8.239e-07
7a2lA	6.018e-07
3h0iB	5.419e-07
4d8dC	4.631e-07
3h0hA	2.743e-07
7a2nC	2.47e-07
4hvuA	2.225e-07
4hvvA	2.111e-07
2hdaA	1.804e-07
7jt9A	1.463e-07
6ipyA	1.389e-07
5ec7B	1.069e-07
7a2uA	9.624e-08
7a2wA	9.624e-08
7a39A	8.667e-08
7a33B	8.225e-08
6ipzZ	6.67e-08
7a2vA	6.67e-08
6edfA	4.623e-08
7a32A	4.387e-08
5ecaA	3.951e-08
4hvwA	3.041e-08
6c4sB	2.466e-08
4hxjB	1.709e-08
7a37B	1.539e-08
7a39B	1.386e-08
7a3cB	1.067e-08
1aouF	7.394e-09
8bzoA	5.125e-09
7jxxA	2.881e-09
2cn8A	7.381e-10
6fdyU	5.986e-10
3hckA	5.116e-10
7jxyB	5.116e-10
1cweC	3.736e-10
7jv7A	2.875e-10
6athA	1.993e-10
1fbzB	1.244e-10
4equA	1.12e-10
2j7tA	4.846e-11
3comA	2.585e-11
A0A668UC96	2.603
A0A668UG73	1.542
A0A671V1T3	1.014
A0A668UBS2	0.8223
A0A671V224	0.7405
A0A671UCW4	0.304
A0A671UUP9	0.2465
A0A093QPG0	0.2107
A0A0V1HLT4	0.1386
A0A671V1Y9	0.1248
A0A3P8ZK78	0.1124
A0A2L2XYM4	0.06317
A0A672U3I2	0.05689
A0A1W0X080	0.05123
A0A3P8ZNE3	0.04379
A0A2L2Y3F3	0.04379
A0A315VVN9	0.04155
A0A671UQE3	0.04155
A0A0V0GAA2	0.03742
A0A1W0WMS4	0.03742
A0A6P3Q9Q4	0.03742
A0A093R0H0	0.0337
A0A671UQB3	0.02593
A0A3Q3H057	0.02461
A0A6J2P9Q7	0.02103
A0A6H5IZY3	0.01996
A0A3P7WHC1	0.01894
M3WXI7	0.01313
A0A819MTD5	0.01065
A0A093QZV1	0.009099
A0A6H5IQW2	0.008635
A0A671UPJ4	0.008194
A0A2L2Y6C4	0.007379
A0A6H5IYU0	0.007379
S4PXN7	0.007003
A0A340TYR8	0.006306
A0A3Q3L9K2	0.005389
A0A5J5DQL2	0.005389
A0A1Q3F7U0	0.004606
A0A668U9M0	0.004148
A0A093T3D1	0.003192
A0A814ZBS1	0.003029
A0A819JWL0	0.003029
A0A5S6QWG1	0.002728
C1LG55	0.002457
A0A0V0GB93	0.001992
R9W822	0.001891
A0A315VTF3	0.001616
A0A4Y2H0H5	0.001533
A0A085NED2	0.001311
