PDB_ID	bits
7fikh	0.03523
7e7tA	0.03028
7e7vB	0.02475
3japq	0.01829
7e7vC	0.01829
7e7wC	0.01572
7peqAF	0.01572
1jofF	0.008581
7kznA	0.008159
8h33J	0.008159
2b4wA	0.007758
4csdB	0.007758
5tf2A	0.006668
7bysB	0.004927
6zymp	0.004685
7e7uB	0.004454
8gq6A	0.004235
6v8iAI	0.004027
8glvDo	0.004027
2b5nA	0.004027
7e7vA	0.003829
5o3xB	0.003829
6mlyD	0.00364
7q3dA	0.003129
7e7uA	0.002975
5m8bB	0.002829
1vz2A	0.002312
5uw6C	0.002312
6jplA	0.002198
7k1rB	0.00209
5o3wB	0.00209
1kv9A	0.001987
7pi2G	0.001987
1yiqA	0.001987
3akhA	0.001797
7cqyC	0.001797
3c2uA	0.001708
2hu8B	0.001624
5o3wA	0.001624
5uw3C	0.001544
7pi2A	0.001544
1yrzA	0.001468
3zxkA	0.001328
7obmA	0.001328
6fhxA	0.001262
3fgbB	0.0012
3azoB	0.0012
5zqsA	0.0009809
7phvA	0.0009809
2exkC	0.0009809
A0A0Q3WF03	9.053
A0A2V5IK43	8.184
A0A0Q3T8F1	7.035
A0A7K3LIG2	6.689
A0A7R9SD98	6.047
A0A3B4B725	5.198
A0A6P5AJI3	5.198
A0A2V6ALI7	4.039
A0A202E317	3.841
A0A349DVN8	2.985
A0A1R1J7H7	2.838
Q3MDC5	2.838
A0A257AI30	2.838
A0A7V4Y563	2.566
A0A124G3H5	2.439
A0A2E5WH75	2.319
A0A850S948	2.319
A0A2V7WI17	2.205
A0A229SRK8	2.205
A0A321LEA4	2.097
A0A2Z5GAL1	1.994
A0A7Y5LJA0	1.896
M7U4P0	1.896
A0A2D5EMM0	1.802
A0A537GX58	1.802
A0A7X7GRX4	1.802
A0A1J5FUJ0	1.714
A0A1Q3HGJ9	1.714
A0A2I0BMR7	1.629
A0A662FPD1	1.629
A0A136MK68	1.549
A0A6N6SMC5	1.145
A0A356KJJ4	1.145
A0A0S8FN18	1.088
A0A521H8B4	0.984
A0A3C0ZJ22	0.984
A0A522BP95	0.8895
A0A3D4P2A2	0.8895
A0A2E2NSW9	0.8895
A0A2E7S0U3	0.8458
A0A7X5EBA4	0.7646
A0A3D2C761	0.727
A0A7G2D650	0.6913
A0A150QET5	0.6249
A0A3D1QY32	0.565
A0A368T2G7	0.5372
A0A7C6TP93	0.5372
A0A2E7NTG7	0.5372
A0A7G9Y4K0	0.5372
A0A660ZJU9	0.5108
