PDB_ID	bits
8hl5AL3P	9.796
4csuP	9.796
7oiaQ	9.796
2vpmB	9.796
4hizB	9.796
5oecA	9.796
2cp6A	9.796
5jteBP	9.197
4v64DP	9.197
4fu6A	9.197
7paro	8.635
4w29BT	8.635
4v9jBT	8.635
6ah0q	8.635
4p7hA	8.635
1wqsD	8.635
6sgaCj	8.635
4x2vB	8.635
7bu9C	8.635
5t6gB	8.635
2vobA	8.107
6bphA	8.107
2x3xD	8.107
6m0vA	7.611
2vobB	7.611
3ja1LR	7.146
3a2zA	7.146
6bheA	7.146
6xywAp	7.146
6rjaF	7.146
7p48N	6.709
4v9mDT	6.709
4bacA	6.709
5nd8S	6.299
3a2yA	6.299
6sdgB	6.299
3fb9A	6.299
2hqeA	6.299
2o4xA	6.299
6ahdx	6.299
2j28U	6.299
2gzoA	6.299
5m9nA	5.914
1hjdA	5.914
3omgA	5.914
6au2A	5.914
3u34A	5.914
1ycsB	5.552
7bu9G	5.552
4ce4T	5.552
