PDB_ID	bits
1ernA	9.789
5wadC	9.789
7e9jA	9.789
4ybnB	9.789
7w25A	9.789
8ghbA	9.789
7u1hA	9.789
5w14D	9.789
4rj9A	9.789
4odbB	9.789
4netA	9.789
1zz7A	9.789
8fqtA	9.789
1n05A	9.789
4as1A	9.789
6o2kB	9.202
4a8dA	9.202
8fqsB	9.202
4u0tD	9.202
3rwnC	9.202
5mv7A	9.202
7e4sD	9.202
7abzl	9.202
4dnsB	9.202
5kf4C	9.202
1x8mA	9.202
6h58gg	9.202
6xwuA	9.202
6o2kA	9.202
5lzdg	9.202
5svcB	9.202
2furB	9.202
6pwlD	9.202
4gu3C	8.649
6gvlA	8.649
7zjvA	8.649
5zvjA	8.649
4wrrC	8.649
5ujzA	8.649
8fqwA	8.649
6ksvB	8.649
7krxA	8.649
7ztbA	8.649
4qd4B	8.649
5wchC	8.649
8cuqA	8.649
3fkhD	8.13
7q61A	8.13
4v8pDX	8.13
4il7A	8.13
A0A0J8FVV0	9.615
A0A6I2IU26	9.615
A0A7W0T622	9.615
A0A1A2LKG5	9.615
A0A7I7REN8	9.615
A0A7Y7D7C4	9.615
A2BX18	9.615
A0A6V7RPI2	9.615
A0A2C1ZBC5	9.615
A0A848AWI9	9.615
A0A6V7R272	9.615
A0A6P0Z4A8	9.615
A0A1I6A0C7	9.615
A0A2N5MCF4	9.615
A0A318GI56	9.615
A0A560DK80	9.038
K1KRG4	9.038
A0A329M7X0	9.038
A0A2D6P7J5	9.038
A0A5M6I8C6	9.038
A0A2G2IXZ9	9.038
C3AVB0	9.038
A0A5C8ILE3	9.038
A0A4P5W2U0	9.038
A0A2D7PFE9	9.038
A0A6G6YPB5	9.038
A0A7G7KRV9	9.038
A0A3C1I1Y1	9.038
A0A809B337	9.038
A0A5R9EG41	9.038
A0A3D3B050	8.495
A0A6M0SDG3	8.495
A0A377G1V3	8.495
A0A5C1EAE0	8.495
A0A7Z1G187	8.495
A0A2N8MAG0	8.495
A0A1A3BGS4	8.495
A0A318R5M5	8.495
A0A2T5NZ99	8.495
A0A2D5I790	8.495
A0A1W6E0X5	8.495
A0A094YKX5	8.495
A0A653NPC7	8.495
A0A0M0GCC1	8.495
W0GV30	8.495
A0A523K1L1	8.495
A0A497HD54	8.495
A0A4Y7R7M6	7.985
A0A841RJP1	7.985
A0A350P948	7.985
