PDB_ID	bits
6mrjB	9.874
2be9B	9.322
2qgfD	9.322
3lghA	8.802
1s5jA	8.802
2wvcB	8.31
7bc4B	7.407
2wvdC	6.993
6cvlD	6.993
2e29A	6.603
5fgjD	6.234
2kjwA	6.234
7objC	5.885
6cvlC	5.556
7b90E	5.556
2wvdB	5.556
2wvbB	5.246
1phzA	5.246
1kohA	5.246
6ql5G	4.953
2ivmA	4.676
6hixAX	4.676
7nljA	4.676
2raqA	4.415
7bfdK	4.415
1y7pB	4.168
6lxgB	4.168
1ul3D	4.168
6jshB	3.715
5fgjC	3.715
4pcqB	3.508
6wo1B	3.508
2cadB	3.127
7cwwA	3.127
3qsiI	3.127
3ta0E	2.787
6dzsA	2.631
2wveB	2.631
2go8A	2.631
4pg7B	2.631
2ipoB	2.631
2cz4B	2.631
4pcqD	2.346
3dhxB	2.346
5a6pA	2.346
2ko1B	2.215
2qz8B	2.215
6u9hG	2.215
3o1lA	2.091
7a8xD	2.091
A0A2I3HWW4	1.467
A0A3Q3GCT8	0.2078
A0A1B0CIX6	0.1559
A0A2I2UWL8	0.09839
Q5BRN0	0.08771
A0A6G0TFE3	0.05865
A0A699YNZ4	0.05865
A0A1R3HG42	0.05228
A0A2I2UQL3	0.04399
A0A6N2CGS2	0.02622
A0A6H5JXX1	0.02083
A0A0P9GX81	0.02083
A0A0D1YK79	0.01655
A0A7S3QRY7	0.01476
A0A183AFZ1	0.01476
A0A0D0E114	0.01242
A0A1X7RVY6	0.01172
A0A2L2Y4P0	0.01172
A0A067QQC4	0.01107
A0A0W4ZPD0	0.01045
A0A4D8ZH48	0.009316
A0A6V8S8R9	0.009316
A0A7J6MN07	0.007402
A0A2I2UJE2	0.006988
A0A6V7Q405	0.006229
A0A3P9AGB4	0.005881
A0A183IP36	0.005881
A0A3Q2YG72	0.004949
A0A6A7C7J3	0.004949
A0A183IJ70	0.004949
A0A3Q2ZM65	0.004949
A0A7S1IGX0	0.004949
A0A6N2CEG0	0.004673
A0A1Q3EYJ5	0.004673
A0A067R673	0.004673
A0A315WN57	0.004412
C7TZV9	0.003713
A0A813EEX6	0.003505
A0A3P9AU95	0.003505
A0A3Q3GRG8	0.003505
A0A803PRX3	0.003309
A0A7S1HWN9	0.001973
M3WWE3	0.001973
A0A0N4WVC5	0.001973
C6HAU5	0.001862
A0A0L1KLR7	0.001862
A0A1Y2FTC3	0.001758
D8QFR8	0.001758
A0A835BDD7	0.00166
A0A1D1V9S0	0.00148
