PDB_ID	bits
4n4rD	9.912
2r76A	9.912
5ykfB	9.912
5yw7B	9.912
2ajpB	9.912
5gz1B	9.444
5adxL	9.444
8teaD	9.444
6zirA	9.444
5mkeB	9.444
1bvqA	9.444
4cvzA	9.444
8cx5B	9.444
4en4B	9.444
5adxK	9.444
3pzoA	9.444
3wrxB	8.999
6oziB	8.999
3cu9A	8.999
1gyeB	8.999
2h03A	8.999
2vtbB	8.999
4bnqB	8.999
5yqqB	8.999
7t4rN	8.999
4bxnA	8.999
7ds3A	8.999
6ta4K	8.999
4tmfA	8.574
6cdkA	8.574
3zcwA	8.574
6rxtCK	8.574
5zo9B	8.574
4bbgA	8.574
3fhyB	8.574
3wgyA	8.169
7t5qJ	8.169
5oqlb	8.169
8hp0A	8.169
6g6zA	8.169
4ck5C	8.169
3ebtA	7.784
6yfgAA	7.784
8fxrS3	7.784
5gz3B	7.784
3wb9A	7.784
1k2fB	7.784
3lk4Z	7.416
6cb1I	7.416
1qguA	7.416
