PDB_ID	bits
7bqbA	9.891
7zo0A	9.891
8b5vB	9.215
6cftA	8.586
2cg4A	7.999
4ycaA	6.028
4ycaB	6.028
5x3tG	4.875
4uzxA	3.943
8enkE	2.086
3fyrB	0.0006554
3fyrA	0.0003722
3d36C	0.0002804
3fyrC	4.152e-05
A0A1H8NU35	9.38
A0A7X2IWY0	9.38
A0A0K0GEL5	9.38
A0A841RME8	9.38
A0A398BGF8	9.38
A0A5J6XQ22	9.38
S7U5T7	9.38
A0A514LGD7	9.38
A0A1D8JIM1	9.38
A0A4Y8IVA3	8.74
A0A0C2TU55	8.74
A0A267TXZ9	8.74
A0A3E0WVY0	8.143
A0A5R9GAN1	8.143
A0A837GJ26	8.143
A0A1G8E1D2	8.143
A4IR54	7.587
A0A2S7N2X4	7.587
A0A380BDJ7	7.068
A0A368WGA2	7.068
X0RB51	7.068
A0A420VBP8	6.586
A0A7H8S4W7	6.586
A0A6M1U8V4	6.136
A0A345BUM2	6.136
A0A3D8VRJ2	6.136
A0A0Q3W5X6	6.136
A0A5R9GIW4	5.326
A0A2T6KA69	5.326
A0A7S8CBJ4	5.326
A0A556PTS2	5.326
A0A1I4H8N9	5.326
A0A5R9FIL8	4.962
A0A4R5KUY7	4.623
A0A221MFS6	4.623
A0A370GFR4	4.623
A0A495A5E1	4.623
A0A2W7MIM7	4.308
A0A0V8JGE1	4.308
A0A0M0LFC1	4.308
A0A4Z0H4V1	4.013
A0A1G8CMB8	3.739
A0A0U1KLR5	3.246
A0A7U5JYF6	3.024
A0A4Y9ABC3	2.818
A0A7L4TJ81	2.818
A0A3N9PWR3	2.818
A0A0F5I568	2.625
A0A7X0W136	2.279
A0A2V3VX19	1.978
