PDB_ID	bits
6mn5A	9.831
5hkhC	9.831
6y3jA	9.831
2z8lA	9.262
4b0mA	9.262
7jisA	9.262
2bbcA	8.726
1v6eA	8.222
7p47E	7.746
4eutB	7.298
3a4rA	7.298
7qbgA	6.875
6ucdB	6.478
1raxA	6.478
6ucdA	6.103
5xdaI	6.103
4je3B	6.103
7v8eC	5.75
5h92C	5.75
8hrzM	5.417
2n4fA	5.417
6tmfH	5.104
2kd0A	5.104
1e7uA	5.104
7ug6x	4.808
5hkhA	4.53
5k1aD	4.268
6pyrA	4.021
1d4bA	3.569
2n1aA	3.363
5k1aH	3.363
1ibxA	3.168
5waiF	2.812
7qbeC	2.812
5zmbA	2.812
2eelA	2.649
7qbdB	2.649
5c44B	2.352
7aktA	2.352
1t0yA	2.216
7zhgG	2.216
7lm2A	1.967
4zrqB	1.967
8j07z	1.549
3rpfC	1.549
2dzmA	1.221
2lhcA	0.9619
2kacA	0.8538
5wakB	0.7578
1hz5A	0.5625
A0A8B6L8D7	9.707
A0A2Z6G3G4	9.707
Q53291	9.707
Q54181	9.707
A0A5Q2RW21	9.707
I0SHA6	9.707
Q53337	9.707
A0A1G7T0Q5	9.707
F9P4J6	9.707
A0A829U521	9.707
Q53900	9.707
E4KPW8	9.145
A0A2Z6G6Z6	9.145
A0A328KBB7	9.145
A0A0J9X1W7	9.145
Q51912	9.145
A0A1S8KN71	9.145
A0A7X9GB89	9.145
S0P043	8.616
F8X1C9	8.616
A0CMB0	8.616
A0A446NHF7	8.616
F6BEQ0	8.616
A0A7X2QB04	8.616
A0A093R6T2	8.616
A0A0B3ABV9	8.616
A0A2H5V7Q6	8.118
A0A525KVH8	8.118
A0A1R0WSV9	8.118
A0D3A5	8.118
A0A6T8JNL8	8.118
A0A2Z6IGZ6	8.118
A0A6N7X3V2	8.118
A0A4P8XWG5	8.118
A0A859PWA7	8.118
A0A6I9QLM4	7.648
A0A443PWK3	7.648
A0A293MIA5	7.648
A0A2Z6RUR0	7.648
Q3EZC4	7.648
A0A3B6FMW1	7.648
A0A8A6RJE5	7.648
A0A0F8WN62	7.648
A0A2D8QUT8	7.648
A0A3D1AEB9	7.206
A0A6B3SIL9	7.206
A0A1E8GFR7	7.206
A0A6L3INB7	7.206
A0A842RBB1	7.206
A7A9Y3	7.206
