PDB_ID	bits
8e0mL	9.256
5ylzs	8.316
6e9rB	8.316
8e12B	8.024
8d3fA	8.024
3nmxA	6.955
6bzdC	6.955
5cwmA	6.476
6e9tB	6.476
6qhdB	5.416
4yjlB	5.416
5cwnA	5.226
7qttu	4.371
7vdvQ	2.847
5feyA	2.651
7abit	2.651
4orhC	2.558
8fbkA	2.468
7dvq9	2.468
3cwgB	2.382
6s53H	1.992
5qsxB	1.855
4whvJ	1.551
7bbdB	1.497
8a58C	1.085
4aycA	1.085
6fgaD	1.047
4orhL	1.01
2y43B	0.9749
5dinA	0.8451
4aycB	0.7868
2bayC	0.635
5h7rD	0.3586
7sqcK1	0.3338
4xi1A	0.3221
4wz3B	0.2894
8qhcD	0.2335
3bctA	0.2174
7ue2A	0.1634
4wz2C	0.1468
4wz0A	0.07184
7xedC	0.06454
3tx7A	0.05398
1i7wC	0.03777
2oxqD	0.03274
7xedD	0.03274
2c2lD	0.01916
2c2lC	0.01784
2f42A	0.01492
1wgmA	0.003448
G8F1M1	9.602
A0A452SX38	9.265
A0A2K6FQJ1	9.265
A0A3P8TM89	9.265
A0A401NYQ5	8.94
A0A6J1ZGU2	8.626
A0A673MUK2	8.323
A0A6P6M792	8.323
A0A667X1N0	8.031
A0A0P7XC40	8.031
A0A485NF66	8.031
A0A672ZJZ5	7.477
A0A3L7I9X9	7.477
A0A402FI34	6.962
A0A212CQJ3	6.962
A0A3M0JA94	6.717
A0A672R8W8	6.482
A0A3L8RXF7	6.254
A0A3N0YLA0	6.254
A0A2Y9RIZ7	6.035
A0A5N5LVX3	5.619
A0A668VDJ0	5.421
A0A673MP14	5.421
A0A7K7DKK6	5.231
A0A6P4ZTV5	4.87
A0A673I932	4.535
G9KWB0	4.375
A0A7M7NXV3	4.222
A0A0B6ZR73	4.222
A0A3M6TQX8	4.074
R7TEK9	4.074
E0VKR5	3.793
A0A1S3DUM2	3.793
A0A226EN05	3.793
A0A7J7A6Y3	3.66
T2MIB0	3.66
A0A7D9INS8	3.66
H2Y323	3.531
A0A3P4R8R7	3.531
A0A3S3SKB5	3.407
A0A1Z5KUG2	3.061
A0A0P5FB11	2.85
A0A7R9Q0X6	2.85
A0A0P5KCH8	2.85
A0A5E4N3X8	2.75
A0A6J1NPP7	2.75
A0A2R5LKN6	2.75
A0A8B6GU06	2.653
A0A1L8DSG4	2.653
A0A6B2EIB8	2.56
