PDB_ID	bits
2y1mE	9.202
2y1mB	8.702
8qniA	8.702
3zniI	8.702
5j3xA	7.783
2fu4A	7.783
3uo9B	7.36
5j3xF	7.36
3unwC	6.583
3vgoA	6.225
2l5yA	6.225
5hkxA	5.887
6c96A	5.887
1mzbA	5.887
5o76A	5.567
7tvyD	5.265
6h1cB	5.265
7tvyC	4.709
5kgqA	4.453
5nbcC	4.211
6o03A	3.983
3lajA	3.983
3lapC	2.849
5nbcD	2.548
7sqcE3	2.548
6p5wA	1.928
4p5oF	1.823
2jq6A	1.542
5ufiC	1.304
7n6g1S	1.166
2kgrA	1.166
7n6g1R	1.043
3kevA	1.043
6b5qA	0.8822
1j7rA	0.7056
4gaoD	0.6673
8g3d7R	0.6311
6xjxQ	0.5968
7k5bR	0.4774
4gbaB	0.4515
1c07A	0.4515
5c5vA	0.4515
7sqcE1	0.427
2m7mA	0.3611
7moqT	0.323
6wdoS	0.323
2g2bA	0.2888
2aucB	0.2888
6xjxR	0.2583
3tdzB	0.2443
