PDB_ID	bits
5npgA	9.974
2aviA	9.974
4lmiA	9.974
4r9lC	9.974
4j9aF	9.974
3dwrA	9.974
4p05A	9.974
6e8aA	9.974
3hk4D	9.974
5jqpA	9.454
2k54A	9.454
5dkxA	9.454
7epnB	8.96
4cdlA	8.96
6ymnAAA	8.96
6bydA	8.96
4kvhA	8.493
3ejoB	8.493
6h1pA	8.493
6zjvA	8.493
1d1jB	8.493
3dxoA	8.493
6hnmA	8.049
5dkyA	8.049
6tzdA	8.049
7tmoC	8.049
2bngC	8.049
4j9aA	7.629
3oseA	7.629
5jbsC	7.629
6le0D	7.231
1dmqA	7.231
4gjtA	7.231
3dm8A	6.854
1e3rA	6.854
6w40B	6.854
1cewI	6.854
6i3vB	6.854
7rxkB	6.854
3e99A	6.854
6u9iA	6.854
3iptD	6.854
6k8qA	6.496
7tbiQ1	6.496
5muzA	6.496
1opyA	6.496
8bfnG	6.496
6k7eA	6.496
6e8aB	6.157
5if6F	6.157
