PDB_ID	bits
1ny9A	9.893
4xusA	9.893
7y0dG	9.893
8buxA	9.893
3o2bA	9.893
3lddA	9.359
4p39A	9.359
1r6oC	9.359
5he9E	9.359
7m44A	9.359
3upqA	9.359
4r50B	9.359
8gzqB	9.359
1orpA	8.854
1r6oD	8.854
1c9bM	8.854
3o2hA	8.854
1p59A	8.854
8ia2D	8.854
7ktjA	8.854
3tadA	8.854
1kdhA	8.854
1mg9A	8.854
3hw8A	8.854
7oa5B	8.854
2maxA	8.854
3hx0K	8.854
2nrwA	8.854
1mbxC	8.375
4qe9A	8.375
4gibB	8.375
1xktB	8.375
3seiB	8.375
2d3dA	8.375
5zryB	8.375
6l1qC	8.375
7anwA	8.375
8gq5A	8.375
7kjbA	8.375
4r50A	8.375
6fizI	8.375
3o1fB	7.923
2px6A	7.923
7kjcB	7.923
4r7cB	7.923
7m0eA	7.923
7cocA	7.923
4rqmB	7.923
2wa8C	7.923
1wkbA	7.923
A0A376FCI6	9.308
A0A378AHK1	8.806
A0A3S4KP05	8.806
A0A7H4M5F1	8.33
A0A485D9D3	7.455
A0A645D538	7.455
A0A379UVI1	7.455
A0A090RW28	7.052
A0A354W327	7.052
A0A2T4CUV2	6.671
A0A348WNN2	6.311
A0A3D0LVW8	6.311
A0A523Q4T5	5.97
A0A7R9AJH1	5.648
A0A812RLT5	5.648
T1ADP5	5.648
A0A2E6ME84	5.648
A0A349L5N9	5.648
Q9HV54	5.343
A0A3D3GXI6	5.343
A0A1V5JME5	5.343
A0A4Q3HYN4	5.054
A0A7S1EAR3	4.781
A0A6L5DJT7	4.781
A0A7S0K5D8	4.781
A0A519YSA7	4.781
A0A7V7T456	4.523
T1BLB0	4.523
A0A7R9AK50	4.523
A0A1J0KUZ2	4.523
A0A2W6RV12	4.523
D4DT85	4.279
A0A536V5T1	4.279
A0A6J0PDZ7	4.279
A0A354Z264	4.279
A0A257X348	4.279
A0A833V8G8	4.047
T1CTV1	4.047
A0A7Z0B486	4.047
A0A5C7X493	4.047
A0A382PE66	4.047
A0A355QUS4	3.829
A0A1J5Q4Z6	3.829
A0A7C2AIK6	3.829
A0A3D3S4S6	3.829
A0A2G2CAC1	3.829
A0A3M2XRM1	3.622
A0A351GNI4	3.622
A0A259DPR7	3.622
A0A0F9C5I6	3.426
