PDB_ID	bits
2l2nA	9.414
2btjbb	9.414
5excC	9.414
3monG	9.414
6pkyA	9.414
5ksuE	9.414
6kmoA	9.414
3m99A	9.414
4gg6B	9.414
7a5aC	9.414
4aenB	9.414
3s4sE	9.414
3ps4C	8.833
7u65G	8.833
6og7U	8.833
3kf8A	8.833
2qzbA	8.833
4ou4A	8.833
4ttuA	8.833
7unvp	8.833
7z50D	8.833
4c89D	8.833
6m9yC	8.833
6blrB	8.833
5xdzA	8.833
5tphA	8.833
7a5aB	8.833
8phjP	8.833
3cfiJ	8.833
5tu8A	8.833
4p5iA	8.833
7sfzA	8.833
3lf4A	8.833
3vyxA	8.833
6xywBd	8.287
8d8lE	8.287
5hj0A	8.287
7sg0B	8.287
4gvqC	8.287
5ht0F	8.287
3b0hA	8.287
4v6yAP	8.287
6lofD	8.287
2mdpA	8.287
6uz7AD	8.287
8w83H	7.775
7uzgH	7.775
6l4nA	7.775
3lqzB	7.775
7d17A	7.775
A0A7G2IQ98	9.975
A0A7X1HSL1	9.975
A0A378ATN1	9.975
A0A6X6WL47	9.975
B2VIS9	9.975
A0A447PK58	9.975
A0A836YUP7	9.975
A0A0H3GSJ5	9.975
A0A5P6AB39	9.975
S4YCR4	9.975
A0A172YFP5	9.975
A0A3L7LTA2	9.975
A0A1I1MBY0	9.975
A0A5E9N6A0	9.975
U2RTG6	9.975
A0A103ELN8	9.975
D7AX63	9.975
A0A7V2DGL1	9.975
A0A818ABQ1	9.975
A0A6L5E0N9	9.975
A0A374AIE8	9.975
A0A7U4NA16	9.975
A0A081CWY5	9.975
A0A2I8AB17	9.975
A0A242YN62	9.975
A0A0F9J5J5	9.975
F8KX95	9.975
A0A7C5SIX7	9.975
S7U283	9.975
A0A5K7Z2Y7	9.975
A0A1R3FMK8	9.975
A0A7Y4JPY8	9.975
R7NA70	9.975
A0A381QL52	9.975
A0A7C4DJK1	9.975
A0A2G8RJE4	9.975
A0A841EDU6	9.975
A0A2T1CXP3	9.975
A0A359EB77	9.975
A0A438N5M0	9.975
A0A820FWB5	9.975
N1VWP2	9.975
W9GSL7	9.975
A0A3B8Q2I0	9.975
A0A074WAB3	9.975
A0A4S3B6I4	9.975
A6CIH0	9.975
F2IXC8	9.975
A0A0Q4INY8	9.975
A0A819EKK4	9.975
