PDB_ID	bits
4n4hA	9.703
5i0iA	9.703
6ap4N	9.703
6t7xA	9.703
5kewF	9.703
1jtcB	9.703
1p63A	9.129
6ap4L	9.129
5wl8D	9.129
2rhyA	9.129
2ri2A	8.59
3el6A	8.59
5wksA	8.59
5wl6B	8.59
5kevB	8.082
5gndA	8.082
2ri5A	8.082
5zzbA	7.604
1jy0A	7.604
7uveA	7.604
2f8vY	7.604
1iz4A	7.604
6th6BU	7.604
8i7rP3	7.604
7ohrM	7.155
4ckeA	7.155
4ckeD	7.155
4v42BD	7.155
5fhfA	7.155
4v7eCT	7.155
3ba4B	7.155
1jt5A	7.155
8fl6LE	7.155
7qepN1	7.155
5ftfA	6.732
2egiG	6.732
3ervA	6.732
3sfmA	6.732
7cpvLT	6.732
1rxmA	6.732
1ej8A	6.334
1iz5B	6.334
4ns5A	6.334
2ayoA	6.334
7pzy2	6.334
4jcnA	6.334
7oycT1	5.96
1jt7A	5.96
4n4gA	5.96
7oybT1	5.608
A0A2J8JPH4	3.274
Q8BUR4	1.236
A0A2J8JPD7	0.8573
K7FEI6	0.7141
A0A7J7TSY1	0.6719
A0A7J7TSY0	0.5597
A0A2H6MVU0	0.3883
A0A1S3KRF9	0.3654
A0A1A8H5B5	0.3044
A0A6F9AEM4	0.2112
A0A0S7F2D1	0.1987
A0A6G0HYW9	0.187
A0A7J6ARU9	0.1759
G3TVN7	0.1379
A0A3Q2Y957	0.1221
A0A5E4B8Y3	0.1081
A0A6P9DAF2	0.1017
C3KHV7	0.1017
A0A2J8X4X2	0.09567
F1LVA9	0.09002
A0A3Q1G782	0.07498
A0A6P6CRK1	0.07498
A0A4W3JXS5	0.06638
S7Q3A1	0.06246
A0A6J0ZAS3	0.06246
A0A6B0RWG2	0.05529
A0A226NPQ0	0.05203
L5MEW3	0.04895
A0A3L8SIZ8	0.04606
A0A5N4CAI3	0.04606
A0A0P7VJZ9	0.04606
A0A423T1S4	0.04334
A0A0S7M1L1	0.04334
A0A803XTY1	0.04334
Q92608	0.04078
A0A1V4KA38	0.03397
A0A7L4HA35	0.03397
A0A1B6JK07	0.02505
A0A0S7HXW7	0.02505
A0A0A1XPG2	0.02357
A0A1B6M528	0.02218
A0A2I0T614	0.02086
A0A1Z5L867	0.01963
A0A0T6AWV2	0.01635
A0A4W5RSB6	0.01635
A0A315V500	0.01539
H3CK12	0.01448
A0A2K6S9Y5	0.01448
A0A4W5K679	0.01448
Q4S3N3	0.01448
