PDB_ID	bits
5r68A	9.952
5cu5B	9.454
1yzeC	8.533
5xtzA	8.106
7jfyC	8.106
8iizA	8.106
7x8gC	7.7
7e74B	7.315
8i60C	6.95
7eieA	6.602
5hnoC	6.602
6mimC	6.272
1uusA	5.958
5r69B	5.108
5vnaA	4.853
5xtzD	4.853
7x8fC	4.38
5vnaC	3.755
2c9rA	3.389
5mj6B	3.389
5xtzB	3.219
4lbaA	2.905
1soxB	2.622
1soxA	2.622
4xh3A	2.491
4udf1D	2.366
2ptuD	2.366
8ew6W	2.136
2a9bA	2.136
2ptuC	2.029
3r18A	2.029
3r19A	1.831
6eduP	1.831
5cgmA	1.739
7sqcQ1	1.739
3hbqA	1.739
1ogpE	1.652
7xmnB	1.652
7t92L	1.57
8as0A	1.346
6vtcA	1.279
7x94L	1.215
5j56B	1.215
6vrnD	1.154
7n2nD	1.096
1do6A	0.9893
8e4cA	0.9893
7l56L	0.9398
6dfgL	0.8058
6opaJ	0.7655
