PDB_ID	bits
1oboB	9.795
6nevB	9.795
3r1kA	9.795
5trmG	9.795
6rftB	9.795
1g95A	9.795
3ioyA	9.217
7kpuD	9.217
2vxoA	9.217
7d62A	9.217
1lehA	9.217
4eipA	9.217
4ewgB	8.674
3esyA	8.674
4gx5B	8.674
2zpaA	8.674
6acfA	8.674
3efaA	8.163
1bf3A	8.163
1pbbA	8.163
6iqdA	8.163
8egnA	8.163
5trmC	8.163
6qh8B	8.163
7zcaA	8.163
8d9dC	8.163
5dbjD	8.163
5dbjB	7.682
6ljhA	7.682
4jlwD	7.229
5jphB	7.229
1p0fB	7.229
6oa7B	7.229
4gcmA	7.229
5mzkA	7.229
5x6qA	7.229
8eekB	6.803
1pjqB	6.803
3oetH	6.803
1dnkA	6.402
7d62B	6.402
1grtA	6.402
8g2lB	6.402
1z6lA	6.402
5eowA	6.402
1kolA	6.402
7u9nA	6.402
4oh1A	6.025
8h2aC	6.025
6hg8A	6.025
