PDB_ID	bits
1zdgA	9.807
4xc7B	9.284
3q15C	9.284
5cjwB	8.789
6mgiA	8.789
5nv4A	8.789
2z87B	8.32
4bxcA	8.32
4bxcB	7.456
6gwdD	6.682
2zlgA	6.682
3zgbA	6.682
6mgiB	6.326
2jkcA	5.669
4xc6A	5.367
5cjtB	5.08
5cjvB	4.553
8db3A	4.553
3zgbB	4.553
6k12B	4.31
4xc8B	4.31
4tlaF	3.277
5cjvA	2.937
8ojfA	2.937
5gajA	2.233
1oidA	2.114
1fiyA	2.001
1pknA	2.001
3e0fA	1.793
4dyeA	1.793
6umkA	1.697
8ojfB	1.607
3jteA	1.44
5auqC	1.363
2oqhC	1.363
2oqhD	1.291
8edsB	1.157
4yngB	1.095
8arvB	1.036
4ff5A	0.8793
4yngG	0.8793
3n25F	0.788
5cgeE	0.746
8edtA	0.746
3g77A	0.746
4r7wB	0.7062
1we5B	0.6328
8edrB	0.5991
2e28A	0.5671
8iavC	0.5369
