PDB_ID	bits
3m1cB	9.91
5jk0B	9.374
7ns0C3	8.867
6t40A	8.388
7wl31	6.716
6rpku	6.716
7c9sB	4.552
7eaiB	3.853
2wg8B	0.4173
2wg7A	0.2676
3n7xA	0.002012
6wh3A	0.001442
1dnvA	0.0007824
8eu5A	0.0005606
6wh7A	0.0005606
4mguA	0.0003799
8erkA	0.0003594
3p0sA	9.405e-07
8t9cA	4.567e-07
8t9eA	4.087e-07
8tjeA	1.776e-07
8ta7A	3.961e-08
7utsE	8.989e-12
7utpD	2.798e-12
7utpC	1.179e-13
7utrC	1.524e-19
7utuC	3.3990000000000004e-20
7utvC	3.215e-20
7utsB	1.477e-20
7utvD	1.9359999999999998e-22
7utsF	4.565e-23
7utsI	2.927e-23
7utrD	1.8759999999999998e-23
7utuD	1.203e-23
7utuI	1.103e-24
7utvB	6.689e-25
7utpB	3.248e-25
7utuB	2.3270000000000003e-25
7utrI	2.201e-25
1ijsP	1.263e-25
7utvI	1.069e-25
8ep2A	6.853e-26
7utrB	6.853e-26
1fpvA	6.853e-26
1c8eA	6.133e-26
7utuG	5.488000000000001e-26
4qykA	3.932e-26
4dpvZ	2.5210000000000002e-26
1k3vA	2.3840000000000003e-26
6bx1A	1.2240000000000001e-26
A0A501SHD9	9.842
A0A7J7RJB9	9.842
A0A842GRP9	9.31
A0A7J8AEV0	9.31
A0A1L8E5R7	9.31
A0A2A4J3C3	9.31
A0A7J6ZIP9	8.807
A0A7J6ZHQ8	8.331
A0A127T3D7	8.331
A0A2J7Q3C8	8.331
J9M817	7.88
J9KT31	7.454
A0A6G0VQS9	7.454
A0A1S8X4Y2	6.67
A0A0N1IFW9	6.67
A0A074YUR8	5.052
A0A6P7US24	4.045
A0A6A4INN4	3.827
A0A6P7UI80	3.827
A0A5J4NV60	3.62
A0A293M2H6	3.424
A0A0A9W115	3.239
A0A293LGX9	3.239
A0A6A4IQB4	2.593
A0A0P4WYP0	2.195
A0A2R7VW87	1.573
A0A6A4KMH1	1.488
V4C234	1.259
A0A5K4FB27	0.8074
A0A6A4JWC0	0.6465
A0A843WC83	0.3709
A0A6A4IQK4	0.3709
A0A6G0VZ21	0.3139
A0A6A4KAW8	0.1801
A0A087G006	0.1612
A0A5K4F538	0.1364
Q8JMG4	0.09245
A0A1Y1WSZ7	0.07002
A0A841A6T1	0.05017
A0A2B4RZF0	0.03595
A0A2E9QM71	0.02878
A0A089P157	0.01398
A0A3N6PRC1	0.009472
A0A6A4JAE2	0.008476
A0A6A4JFH8	0.005745
A0A6A4J8V8	0.004116
A0A6A4JUE2	0.001432
A0A183BY32	0.0008215
A0A6A4KJY8	0.0005886
A0A6G0SZQ2	0.0004217
