PDB_ID	bits
1gm0A	9.465
8ae1A	8.993
7qooP	7.326
4xuuD	6.612
7dzlB	5.387
6qhgB	3.065
5cd6A	2.497
4ttwA	1.574
5xfmA	1.574
5hqaA	1.219
5hqcA	0.9927
5hqbA	0.8512
6xyaB	0.7299
6z6bEEE	0.3749
6z6bPPP	0.2902
6t0wC	0.0003903
2gmoA	0.0002726
4chfB	0.0001552
2jdqE	8.388e-05
2jdqD	2.716e-05
4uafE	2.581e-05
4uadE	2.213e-05
4uaeF	1.898e-05
6xzqF	4.048e-08
7z4oCCC	7.461e-09
6qx3C	4.704e-09
7zpmF	8.236e-10
7zplF	6.374e-10
6t2cC	8.206e-11
6tu5FFF	5.386e-14
6tu5CCC	2.912e-14
6qwlQ	5.098e-15
6kv5C	3.749e-15
5efcA	2.488e-15
6kuvC	1.416e-15
2vy8A	1.037e-16
4or6B	5.902e-17
4oroC	5.061e-17
2vy7A	4.324e-18
6euxA	2.461e-18
4wrtC	3.846e-22
5jurA	7.087e-23
7xmeA	1.0639999999999999e-23
7xmeB	7.433e-24
7xmeD	6.0549999999999996e-24
4cb7B	1.597e-24
5eg9B	5.445e-25
2vqzF	5.173e-25
5junA	4.915e-25
4p1uA	4.004e-25
