PDB_ID	bits
4gkpA	7.958
5u5nB	4.995
5u5iA	3.522
1mamH	2.633
3m7oC	2.484
5njdE	2.211
6tpuB	2.086
5dk3B	1.856
6kzbC	1.652
6nn3H	1.471
4u3cE	1.471
8fddA	1.235
5drnA	1.099
7v0pE	1.037
7lyvE	0.9785
4fqqH	0.9785
8d6kB	0.7752
5lgvB	0.7752
4cn1B	0.7314
2ygvD	0.7314
6jhrE	0.69
6kzbA	0.69
3zssC	0.651
5uqyL	0.651
8eqcH	0.5794
8fahH	0.5467
5vt4C	0.5467
6mqrH	0.4866
7s0jH	0.4866
6mfpC	0.4866
7ahuB	0.4591
5drnH	0.4591
4pygE	0.4591
7czxH	0.4331
3chnA	0.4331
6gf6B	0.4331
6dc8H	0.4086
6oc3A	0.3855
2hkhH	0.3637
1nakI	0.3431
6xy2H	0.3431
8gpkA	0.3054
6dzyV	0.3054
8szyI	0.3054
6cyfF	0.2881
1dn0D	0.2881
2w9dH	0.2881
2v7hH	0.2718
5weqB	0.2718
8f95A	0.2718
