PDB_ID	bits
3j04D	9.533
1i84V	9.533
3qo6B	9.533
2n8aA	9.533
8otzAV	9.533
5ejkF	9.533
5zwzA	9.533
8e14C	9.012
8q4eB	8.519
3fdrA	8.519
3qr0A	8.053
3omgB	8.053
7svjA	8.053
6iipB	8.053
3oynA	8.053
7mkuB	8.053
1s9cH	8.053
1br1G	8.053
4av1D	7.613
5m05A	7.613
2cs2A	7.613
5y7pD	7.197
8bltA	7.197
3pifD	7.197
7ku7C	6.804
6pi7D	6.804
2otgA	6.804
7sveD	6.432
7ut1c	6.432
8e14G	6.432
1sr6A	6.432
5t45A	6.08
5z78C	6.08
5ejkG	6.08
1rj2J	5.748
1s9cJ	5.748
7ku7F	5.748
7yt9B	5.748
8cezB	5.433
7ut1H	5.433
6ie4A	5.433
6iluB	5.433
5jlhG	5.433
1qviA	5.433
4iupA	5.433
7ut1C	5.433
5ejkH	5.136
7cfbA	5.136
5ejkD	4.856
5ejkE	4.856
A0A6P5NW98	0.01445
A0A7J8DS88	0.01291
A0A1U8BY78	0.01154
A0A7E6DVM4	0.01154
B4E264	0.008709
A0A6J3AYT6	0.008233
A0A6P9FE37	0.008233
A0A1U8BUY2	0.007358
A0A6J3F6X1	0.007358
A0A7J7TUV5	0.006575
A0A5E4BFM0	0.006575
A0A7J8DRX2	0.005876
A0A2I0MFD5	0.005876
U6DL19	0.005876
A0A061IF09	0.005555
A0A6P5LAG3	0.005555
L5JNI7	0.005555
A0A663LSK2	0.004964
A0A7J8DRU1	0.004964
B4DH45	0.004693
U3JXC7	0.004693
A0A7E6DUM7	0.004436
A0A7N5KD98	0.004194
A0A5E4BHT9	0.004194
A0A6P9F3P7	0.004194
A0A1V4KJE6	0.004194
Q9BX66	0.003964
A0A6P7QIH9	0.003964
A0A7E6DV85	0.003748
A0A7J7E679	0.003748
A0A6P5L4E0	0.003748
A0A674GLG3	0.003748
F6WGF7	0.003748
A0A4V5P831	0.003748
A0A834EEP1	0.003748
A0A674K9D4	0.003543
A0A6J3DBL9	0.003543
A0A1V4KJA0	0.003543
A0A6I8PDJ8	0.003543
A0A7K4JIB7	0.003349
A0A834EC21	0.003349
A0A4Z2EUA0	0.003349
A0A091RB40	0.003349
A0A4X2JXE7	0.003349
A0A662YYM4	0.003166
A0A6P7QK17	0.002993
Q62417	0.002993
A0A3Q2LJA8	0.002993
A0A6J3D5Q9	0.002993
A0A3Q4MYQ6	0.002993
