PDB_ID	bits
6yoaB	7.982
2j50B	7.551
2zn9B	7.143
1k93E	5.413
4jmqD	5.413
2pp6A	3.88
8iyj1	3.671
8hqzH	2.489
1dmoA	1.886
1hqvA	1.784
8k37M	1.688
7y77A	0.4457
7y77C	0.229
5xw9A	0.1834
3sueD	0.1553
7y77B	0.1177
7u5bI	0.1113
4a1tB	0.09963
4kp0A	0.09963
4a1vA	0.04843
1hj8A	0.04843
4a1vB	0.04101
2tbsA	0.03879
5jyiA	0.03284
4a1xB	0.03107
5etxC	0.02939
5etxA	0.02939
2zprB	0.02781
5etxD	0.02781
6vdnA	0.02631
6vdoA	0.02489
7mmgB	0.02354
6dwrA	0.02107
3su4A	0.01886
2zpqB	0.01784
1andA	0.01784
1y5uT	0.01784
4b75B	0.01597
3sudC	0.01597
5esbA	0.0151
7uxgA	0.01352
3rdzB	0.01352
2qv1B	0.01352
1utlM	0.01352
3veqB	0.01279
1rgqB	0.01279
2fi5E	0.01144
2oinB	0.01144
2aiqA	0.01144
5xwlB	0.01144
