PDB_ID	bits
4p8mB	9.705
6zogC	9.705
4u95C	9.705
5c94A	9.705
3mcmA	9.705
4uzbB	9.15
6zoeA	9.15
8aw33	9.15
7rr6B	9.15
4gmkB	9.15
6le1A	8.628
7v4kE	8.628
3us5A	8.628
5a76C	8.135
6abhE	8.135
3mcoB	8.135
2rhqB	8.135
5t0oB	7.671
4u8yC	7.671
6zo7A	7.671
3nogB	7.671
6vu7A	7.233
7o3nB	7.233
2k7jA	7.233
7oqeG	7.233
6m0sA	7.233
8inft	7.233
6zo8A	7.233
1t9tA	6.82
2dnmA	6.82
6gsmp	6.82
7oqeF	6.82
5upqB	6.82
8affI	6.82
7jxxA	6.43
6n06C	6.43
4v7eCU	6.43
6owsC	6.43
1ztpA	6.43
6nziA	6.43
7oukA	6.43
3pamA	6.063
5uptA	6.063
3k07A	6.063
8affA	6.063
3t5cB	6.063
4pcqC	6.063
1q5vD	6.063
5diiD	6.063
5xlnA	5.717
A0A833MSQ3	6.128
A0A263JBC2	5.448
A0A356FAX1	5.137
A0A6L5QTE5	3.61
A0A371QJU9	2.854
C5WDI0	2.537
A0A1G9WRG5	1.891
A0A2M7GVD9	1.783
A0A662ZI10	1.783
A0A271J6N5	1.585
A0A2G6FX33	1.585
A0A2H0DPK3	1.495
A0A6G0WRV4	1.329
A0A379TP68	1.181
A0A7V2EF36	1.114
A0A7J2WPI1	0.9903
A0A451D5S8	0.9338
A0A6H1WX89	0.9338
A0A524F8W1	0.696
A0A0D2WI95	0.696
A0A326UBW4	0.6562
A0A1S7LF11	0.6562
A0A402B817	0.6562
A0A524CFK5	0.6187
A0A4V3HGV4	0.6187
A0A7C2ZTZ2	0.5834
C7GFY7	0.5834
A0A356JSZ4	0.5834
R6DMC4	0.5187
A0A1E7HCY5	0.5187
A0A832JEL1	0.5187
A0A0D3FH37	0.4891
A0A2U3KXF1	0.4611
A0A7K4CPW5	0.4611
A0A7C4UGH1	0.4611
A0A4Y1YMM1	0.4611
A0A2P6U5A5	0.41
A0A6L2M380	0.3866
V2RLS4	0.3866
A0A1G0FX49	0.3645
H1HUH7	0.3437
A0A829ZQ97	0.3241
A0A453IBS2	0.3056
A0A7V4TGC3	0.2881
A0A453IBQ9	0.2717
F6B9Y4	0.2562
A0A401ZGL8	0.2562
A0A660U3U5	0.2415
A0A485LWD9	0.2415
A0A1G3P7N0	0.2415
