PDB_ID	bits
6ixeA	2.393
6r2gA	1.761
6ixfA	1.435
4tqlA	1.231
8d9pA	0.7377
2yfbA	0.7009
5xg3B	0.3992
5xg3A	0.3424
6zz6B	0.2651
6yufA	0.151
6qpwC	0.04202
3auyB	0.001434
5xnsA	0.001363
5h68B	0.001169
4abyA	0.0005155
1e69A	0.0003423
5h68A	0.0002393
4i99A	0.0001055
7p34B	6.658e-05
4abyD	5.71e-05
4i99B	4.898e-05
7sh1B	2.393e-05
7m1qA	1.51e-05
8idbB	1.169e-05
7sh1A	2.789e-06
5ykeB	2.273e-06
6zmeCI	2.16e-06
6jb3B	1.589e-06
6s47Bi	9.524e-07
8wbxB	6.009e-07
7m1pA	3.791e-07
5lw7B	2.936e-07
6ha8V	1.852e-07
7nhl0	1.295e-07
2awoD	1.295e-07
2awnD	1.002e-07
7nhk0	8.597e-08
7nezB	6.656e-08
7mshx	6.656e-08
6hcoA	4.896e-08
7mdxC	2.935e-08
8ce5A	2.159e-08
7lb8C	1.949e-08
7f04A	1.852e-08
8wbaA	1.434e-08
7mdxD	9.047e-09
5zxdB	7.76e-09
3j5sD	7.76e-09
1sgwA	7.373e-09
2pjzA	6.324e-09
A0A0R1VY64	7.581
A0A1I7MQ45	5.577
A0A7Y5HAL7	0.1264
A0A412APL9	0.1141
A0A449B7M6	0.02109
A0A1E3THK2	0.01809
A0A6P0LCH4	0.01201
G7W625	0.005033
A0A511RIR0	0.004782
A0A7C3DXN1	0.003702
A0A7C2QCS1	0.003017
A0A1F4U642	0.002867
D9QVF1	0.002336
A0A849WEC9	0.001141
D9QVF0	0.00103
A0A1G0Z3B4	0.0009788
A0A6I1HH68	0.0008395
A0A3N5UPJ6	0.0001904
T0VJW9	0.0001474
A0A1Q6DMM5	6.499e-05
A0A1F8H937	1.808e-05
A0A1G0Z3V8	1.551e-05
A0A7C3EA03	1.33e-05
A0A7C1AIK8	1.03e-05
A0A7C3MSW9	6.499e-06
A0A2G9SMW5	5.574e-06
A0A7X6HY88	2.219e-06
A0A1F8MIX9	2.219e-06
A0A3N5X1M5	2.108e-06
A0A7V0JWV9	2.108e-06
A0A849W9D3	1.551e-06
A0A3D1W9D5	6.498e-07
A0A6J7JE90	5.866e-07
A0A1G6ZZV8	5.031e-07
A0A668UEJ1	4.78e-07
F7NWW5	3.016e-07
A0A7Z7R1J2	2.723e-07
A0A7S6SCY5	2.335e-07
I1J537	1.718e-07
A0A8B0MFR4	1.632e-07
M5PX30	1.551e-07
G7W6R4	1.264e-07
A0A2V2SJU5	8.833e-08
A0A3Q3GMX7	6.839e-08
A0A2V6NZN3	6.174e-08
I1JC74	6.174e-08
A0A6C0P3M9	5.866e-08
A0A3P8CSE5	5.866e-08
A0A518BV32	5.573e-08
A0A671UI92	5.031e-08
