PDB_ID	bits
6yoaB	7.982
2j50B	7.551
2zn9B	7.143
1k93E	5.413
4jmqD	5.413
2pp6A	3.88
8iyj1	3.671
8hqzH	2.489
1dmoA	1.886
1hqvA	1.784
8k37M	1.688
7y77A	0.4457
7y77C	0.229
5xw9A	0.1834
3sueD	0.1553
7y77B	0.1177
7u5bI	0.1113
4a1tB	0.09963
4kp0A	0.09963
4a1vA	0.04843
1hj8A	0.04843
4a1vB	0.04101
2tbsA	0.03879
5jyiA	0.03284
4a1xB	0.03107
5etxC	0.02939
5etxA	0.02939
2zprB	0.02781
5etxD	0.02781
6vdnA	0.02631
6vdoA	0.02489
7mmgB	0.02354
6dwrA	0.02107
3su4A	0.01886
2zpqB	0.01784
1andA	0.01784
1y5uT	0.01784
4b75B	0.01597
3sudC	0.01597
5esbA	0.0151
7uxgA	0.01352
3rdzB	0.01352
2qv1B	0.01352
1utlM	0.01352
3veqB	0.01279
1rgqB	0.01279
2fi5E	0.01144
2oinB	0.01144
2aiqA	0.01144
5xwlB	0.01144
A0A2H5Y2Q5	7.947
A0A832LSL2	7.518
A0A6C0P496	4.823
A0A519GA16	4.823
A0A2W7L3R3	4.084
A0A368VUW5	3.655
A0A1I5QVK2	2.927
A0A7X6P198	2.218
A0A7C2ZCJ2	1.878
A0A7C1Q9I7	1.777
A0A1H9BD74	1.423
A0A847BY96	1.346
A0A2N3FZ47	1.078
A0A6I3FJ67	0.8636
A0A7V6GDG6	0.8636
A0A7C3HHR5	0.7312
A0A7X5QS92	0.6191
R6XGW8	0.5241
A0A4Y4E8A4	0.4691
A0A1H0KY62	0.4691
A0A653ZQH9	0.3972
A0A1G3QVW7	0.3757
A0A0B0ILA5	0.3757
A0A7J5UNQ2	0.3554
A0A1S2LP74	0.3363
A0A430E9Q7	0.3363
A0A7C3PFU9	0.3363
A0A094YYU7	0.3181
A0A0F9UUP9	0.2847
A0A520YJ39	0.2847
A0A537KUP5	0.2693
A0A3S9AB77	0.2693
A0A357KQY6	0.2693
A0A1H1AS32	0.2548
A0A7K0Y562	0.2548
A0M4L8	0.241
A0A316A5T8	0.228
A0A806GBG9	0.2157
A0A419UXB3	0.2157
A0A2V1GW45	0.2041
A0A4Z0V552	0.2041
A0A511X1Q9	0.1931
A0A561T4Y4	0.1931
A0A552DZ23	0.1728
A0A0F9FXT4	0.1728
A0A1V4MK87	0.1728
Q2IPA2	0.1635
A0A7K2AH93	0.1546
A0A318SQ71	0.1384
A0A419DZ61	0.1384
