PDB_ID	bits
6sxcA	9.359
4mvzA	9.359
7wfrA	8.837
7lqyB	7.878
7dxcB	7.878
2nz6A	7.438
7mzaB	7.023
6h04A	5.911
3hrzC	5.269
7rquA	4.975
7mz9C	4.698
8bx7D	4.698
3cu7A	4.435
8pivA	4.435
8oxwA	4.188
8as2A	3.954
4tqeL	3.733
8i0zB	3.733
3cu7B	3.733
6h03A	3.733
8as3A	3.525
7mx8H	3.525
3q2wA	3.328
6k3fD	3.328
7wfwA	3.142
5lt1B	2.967
7q60A	2.967
1sujA	2.967
7ylrA	2.801
5hnxK	2.801
7u0eH	2.801
4jqiA	2.801
8c1sA	2.801
5lt1A	2.645
8eokG	2.645
3frpB	2.645
7ak0A	2.645
6vfwE	2.497
7d8vA	2.497
7f1xC	2.497
8j8rA	2.497
4ll4A	2.497
1g4rA	2.497
1g4mA	2.497
7r0cC	2.358
4uy0C	2.358
2qkiC	2.226
3x2tA	2.226
5fk0H	2.226
8fwqA	2.226
A0A455C286	1.658
M0QSZ3	0.3724
A0A850ZR49	0.03742
A0A401NLR5	0.007935
A0A411G5U4	0.0005334
A0A3Q0QU97	8.529e-06
A0A3Q2ZQZ7	4.534e-06
A0A3P9I6N4	3.816e-06
A0A5C6PT95	1.522e-06
A0A553R555	1.281e-06
A0A7L0RHI3	9.078e-07
A0A673FSM6	7.214e-07
A0A3Q2DX21	1.716e-07
A0A315V3D0	1.084e-07
A0A3B4F0F0	6.102e-08
Q9QYK8	5.136e-08
A0A4W4H532	3.063e-08
A0A4W4H1C9	2.73e-08
A0A3Q3MLL8	2.578e-08
A0A671KLV2	8.656e-09
A0A3B4CP89	3.873e-09
Q58F07	2.591e-09
A0A672IYW6	1.944e-09
A0A401T7S1	1.835e-09
A0A3N0XGK7	1.159e-09
A0A7N9D1D0	8.213e-10
A0A671KQQ3	7.754e-10
F7FJC1	6.527e-10
G3T4J8	5.494e-10
A0A3Q2Z2Q5	3.093e-10
A0A667XZJ4	2.92e-10
A0A674MD36	2.069e-10
A0A3B3SIG9	1.552e-10
A0A4W4H350	1.234e-10
A0A315VYE3	1.1e-10
A0A4W4H146	1.038e-10
A0A3Q3E7T9	9.258e-11
A0A3B3SJM8	6.947e-11
A0A4W4H515	6.193e-11
A0A3Q3EBL8	5.521e-11
A0A402ERW0	5.212e-11
A0A3B4YRM5	2.202e-11
G3PU46	1.75e-11
A0A212DC30	1.473e-11
A0A673G1E6	1.473e-11
A0A315VL22	1.473e-11
A0A3Q4GWW5	1.391e-11
A0A452GPI6	1.24e-11
A0A3Q4G9F2	1.044e-11
A0A3Q1H0J8	8.294e-12
