PDB_ID	bits
6e9rB	9.657
5cwlB	9.657
6w2vB	7.479
5a7dM	6.463
7mwqB	4.826
7dxjB	4.021
5a6cA	3.114
5cwvB	2.594
3slaC	2.242
3tt9A	2.084
7f4uB	1.614
3ro2A	1.5
5a7dE	1.5
8fbkA	1.25
5jpqG	0.9682
3slaE	0.9335
7ldgC	0.9
5mq0H	0.7498
7dvqK	0.723
5a7dD	0.723
6tblA	0.723
6ylhK	0.697
7ep0A	0.6721
3eg5D	0.648
7xyvA	0.6023
3sl9G	0.5807
4kzgD	0.5599
3ebbD	0.5599
1z2cD	0.4498
6fvuQ	0.4337
6ylgK	0.3483
3ebbC	0.3238
4u2xD	0.3122
4u2xE	0.301
3ebbA	0.301
8fn63	0.2798
6bk8L	0.2798
8d9wK	0.2015
7sqcP0	0.1942
7pqhB	0.1873
6dedA	0.1806
2iaeE	0.1618
8pv6CS	0.156
6xf2D	0.156
6cokA	0.145
3vwaB	0.1348
5n3uB	0.13
7ep2C	0.1123
7y8rL	0.1083
3dadB	0.09359
A0A7G3B0P0	9.655
A0A6V7IZG4	9.655
A0A6P4J970	9.309
A0A6V7ITE9	8.976
M3XH46	8.976
A0A6P4FTZ9	8.654
A0A7L3MKD4	7.756
M1ET19	7.756
A0A060WE80	7.478
A0A6V7J085	7.21
M1ENM3	7.21
A0A183ID14	6.952
A0A2N5TMX9	6.952
A0A6V7ITD5	6.952
A0A7S1Y7S7	6.702
A0A158QJV8	6.702
A0A813ITP7	6.462
A0A7S0SR60	6.23
A0A6A0A0T4	6.23
A0A2N5TVL2	6.007
A0A699Z140	6.007
A0A2N5T9L9	6.007
A0A6C0IVC7	6.007
A0A507C4H0	5.792
A0A6T2CBJ4	5.792
A0A183IW21	5.584
M2RHE6	5.584
A0A1Y2WKA1	5.584
A0A699YMS8	5.584
A0A395S4V9	5.384
A0A2N5TN37	5.191
A0A813C9C2	5.191
A0A836CGS6	5.191
T0R328	5.005
A0A0D2F839	5.005
A0A0D2DM08	5.005
A0A7S3W9T2	5.005
S4PX32	4.825
A0A7S0X1Q3	4.486
A0A6P4JRD1	4.486
A0A4V5NGB7	4.486
D5G7K3	4.486
A0A165N2T6	4.325
A0A150GPN9	4.325
A0A168PXR4	4.325
A0A0C9Z746	4.325
M1ERQ1	4.02
A0A183GQU2	4.02
A0A7S0S758	4.02
A0E2N7	3.876
