PDB_ID	bits
5hciB	6.984
5hciF	5.722
1m8pA	2.009
3zx8C	0.1295
6mrlD	0.03372
2vq0C	0.01678
1vb2A	0.01597
6mrlA	0.01184
1x33C	0.01072
4y5z1	0.009228
3jbmA	0.008779
3jbmC	0.006193
1hpgA	0.002069
4wizCA	0.001968
5mm2C	0.001029
6rj0C	0.0007263
6mrmA	0.000691
6mrmC	0.0006254
7be9A	0.0005385
6shlB	0.0005124
2ea3A	0.0005124
1ct4E	0.0005124
5apmB	0.0004874
4wizAA	0.0003439
2pfeA	0.0002426
6rj0B	0.0002426
4rftb	0.0002196
5lwgA	0.0002196
6iicA	0.0001891
7chkA	0.0001474
7bc3A	0.0001334
4nwwB	0.0001269
5mqcA	8.952e-05
7chkC	8.517e-05
4udf1B	4.239e-05
5cddA	4.239e-05
7be9B	2.99e-05
5yl1A	2.845e-05
1opoC	2.575e-05
3j1pC	2.45e-05
5mqcB	2.217e-05
5lk7A	2.109e-05
5apmC	1.644e-05
5ewnB	1.488e-05
7bjpC	9.502e-06
5lk8B	9.04e-06
5gkaA	7.406e-06
5lwgC	7.406e-06
4pb6A	6.703e-06
8b3jB	5.492e-06
