PDB_ID	bits
3lrxF	9.871
3lhiA	9.871
7ya2A	9.871
1ec7C	9.871
4gmkB	9.27
2wkrA	9.27
5n6pA	9.27
4s03A	9.27
6dwvC	9.27
7vz6B	9.27
5uohA	8.705
5o7zD	8.705
7v3xD	8.705
6wamE	8.705
2c2hB	8.705
6wamB	8.705
5ircD	8.705
6bagC	8.705
6wanF	8.175
5ej1A	8.175
4ep5A	8.175
7vzaG	8.175
6kx3A	8.175
6hulB	8.175
7zp2C	8.175
5kswA	8.175
6r3vB	7.677
2w2vD	7.677
1uqtB	7.677
1m7bA	7.677
6dxsC	7.677
3simB	7.677
4p3yB	7.677
2higA	7.209
1vgvC	7.209
3ix1A	7.209
5tq0B	7.209
6sgeA	7.209
4d74A	7.209
8oieF	7.209
4s0lA	7.209
2ohoA	7.209
5m70G	7.209
6lqsRJ	7.209
3a58D	7.209
3hnoD	6.77
7yfiB	6.77
8qndD	6.77
1vgvB	6.77
4xyjF	6.77
