PDB_ID	bits
5o9mA	9.856
2hr9A	9.856
6zj3LU	9.856
5jjvB	9.856
1n02A	9.856
8cykB	9.856
2gn3A	9.856
7snyA	9.856
6x7hB	9.856
2kjlA	9.856
7qh3B	9.856
7ko8F	9.305
1a41A	8.784
2gmmA	8.784
3isuA	8.784
3lyvB	8.293
6z01B	8.293
2ja5A	8.293
7snsD	8.293
8baoB	8.293
6tu7GP1	8.293
1c8cA	8.293
3fcdA	8.293
1v6nF	7.829
5cybA	7.829
1z7hA	7.829
6cqiA	7.829
6z03B	7.829
1bnzA	7.829
2gmpA	7.829
8dmlC	7.829
2ezmA	7.829
3lhcA	7.391
2pysB	7.391
3l8bB	7.391
1h9rA	6.978
4r4kA	6.978
2mm3A	6.978
7vsxA	6.978
6ieiA	6.978
4ui0A	6.978
2gn7A	6.978
1y96A	6.588
5jmcE	6.588
5fqbA	6.588
6mf6B	6.588
2gn3B	6.588
8b6hDR	6.588
5uk3D	6.219
8p5dLE0	6.219
P47068	0.8204
A0A6C1EAM4	0.7312
A0A7H9B6V4	0.6903
G8BNQ8	0.4614
A0A1S7HQA3	0.4356
A7TK46	0.346
H2B0H6	0.2748
A0A7H9HUT1	0.2595
A0A1Q2ZXR6	0.2312
A0A1G4ME80	0.1734
J7S3V9	0.1734
G8JXD0	0.1637
A0A0P1KX03	0.1546
A0A1Q3A2C4	0.1546
A0A4C2EDF7	0.1459
Q6FSY6	0.1378
A0A1G4IRR2	0.1378
A0A212M5Z4	0.1378
A0A1G4K103	0.09752
A0A376B2E5	0.07314
A0A0X8HVD2	0.06904
A0A1X7QYK2	0.06154
A0A1G4J7Z7	0.05809
W0T8U7	0.05178
A0A1G4K118	0.04888
C5FBZ1	0.04615
A0A5M9N7I9	0.04357
A0A1B7P581	0.04113
A0A4S3JS30	0.03883
G0W832	0.03666
A0A1E4TTS1	0.03666
A0A0A8LCU5	0.03666
A0A1J9QJI2	0.03666
A0A059J3U5	0.03084
A0A0F8DJL8	0.02912
R9XCP3	0.0245
A0A1E1JT14	0.0245
A0A1W5DC59	0.02313
A0A1E3QD86	0.02313
A0A0F4ZB57	0.01946
A0A318ZJ74	0.01946
A0A0D2AHE4	0.01837
C0NVC9	0.01837
A0A0J8S0Y2	0.01837
A0A395HW47	0.01837
A0A1E4SA40	0.01735
A6REM5	0.01735
A0A7C8LD31	0.01638
B8NB56	0.01638
F2PNW0	0.01546
