PDB_ID	bits
8btrLi	9.388
1zw0_H	9.388
5t2ai	9.388
8oirAa	8.798
8cqzB	8.246
6msqA	8.246
3jbnA3	8.246
8brmLi	8.246
4v8pGU	8.246
7u22D	7.728
5xy3h	7.728
8ev3h	7.242
3j793	7.242
3b2eF	7.242
8ceoc	7.242
5zx3D	6.787
6gz3Ah	6.787
1zw0_D	6.361
4j2cC	5.961
6jcyD	5.961
4i2sA	5.961
4i1eA	4.906
4i8mA	4.598
4l4hA	4.598
6konD	4.309
6koqD	4.039
6c04D	3.785
4i0yA	3.547
4jkqA	3.547
8btdLi	3.115
8p5dLHH	2.564
4pmiC	0.0002724
4pmiB	0.000173
3lphB	3e-05
2x7lR	1.905e-05
6bsyB	1.133e-05
3lphC	1.062e-05
6cf2F	7.196e-06
5dhvN	6.744e-06
3lphA	5.551e-06
6bsyA	5.202e-06
5dhvM	1.331e-06
