PDB_ID	bits
1kkmJ	8.626
7b0yL	8.089
7mq9LF	8.089
5xyiY	8.089
5w5yL	6.257
2hidA	6.257
7d59L	5.161
5u5qL	5.161
3lb8C	5.161
7pzyZ	4.84
7z2zL	4.539
7ar8O	3.992
1yjjA	3.511
4ltuB	3.511
7z30L	2.896
2y5cB	2.896
3lb8D	2.716
4zlhA	2.716
3huiA	2.389
1b9rA	2.24
1uwmA	2.101
7t6dB	2.101
6nblD	1.848
7m8iB	1.848
1e6eB	1.625
3lxfA	1.625
2ptlA	1.625
4nj7_P	1.257
1krhB	1.257
4nj7_J	1.179
3p1mH	1.105
1ayfB	1.037
5bz6A	1.037
5ejqA	0.9722
7m8iA	0.9118
1cjeD	0.9118
1k8rB	0.9118
3pzdA	0.8551
8cx9D	0.8551
2jqrB	0.8019
5h57B	0.8019
1xlqA	0.8019
6vjvB	0.8019
3cf6E	0.752
4mgzE	0.7053
5khqB	0.7053
5xaeB	0.7053
7w39x	0.6614
4kkjA	0.6614
1r7sC	0.6203
