PDB_ID	bits
4v5yB6	9.793
2d1lB	9.793
3sjaE	9.793
3sjaA	9.793
6kgrA	9.793
5l3dA	9.793
4czzA	9.793
5l3bA	9.793
8abqA	9.793
8apbT1	9.793
5zhyE	9.161
6gkfF	9.161
7ajfa	9.161
6rdhH	9.161
6swgB	9.161
4bpdF	9.161
4j7kD	9.161
3stqF	9.161
5z51B	9.161
4cbkC	9.161
6vmeO	9.161
6hgcA	9.161
3v3cB	8.57
4cbkB	8.57
3zo6M	8.57
4cbjK	8.57
4cbjF	8.57
4cbjE	8.57
3zo6D	8.57
6b87D	8.57
7pqhG	8.57
3g6bB	8.57
7pqhJ	8.57
6rdnJ	8.57
5f3wD	8.57
3v3cK	8.57
4kb4A	8.57
6tmkL1	8.017
3jbnA3	8.017
3av0B	8.017
5ofaA	8.017
3q4hA	8.017
8t8fE	8.017
8a1gB	8.017
6dkmB	8.017
4v9kD2	8.017
6s1kF	8.017
3ur1D	7.499
6b87C	7.499
4n7yB	7.499
