PDB_ID	bits
3r84B	9.803
6iemG	9.803
7tk60	9.803
2pidB	9.803
5fl7M	9.803
3lofB	9.803
8apjT1	9.803
6zikK	9.803
7tki2	9.215
2dgjA	9.215
7ui2A	9.215
4cqiA	9.215
7tk32	9.215
4cbjF	9.215
7tkd9	9.215
7ajbL	9.215
5y6oE	9.215
5y6oG	9.215
6iqcA	9.215
2v15G	9.215
5y6oD	8.663
7tks2	8.663
3t49A	8.663
6zbbL	8.663
2pidA	8.663
6j54K	8.663
5fl7L	8.663
8h9s3	8.663
6mksA	8.663
4kbqD	8.663
5iz2A	8.144
5y6oI	8.144
7tko0	8.144
5y6oA	8.144
7ajbAO	8.144
6zpoO	8.144
7ajhAO	8.144
7ajeAO	8.144
7ajcO	8.144
6zbbK	8.144
7ajdO	8.144
3lofC	8.144
7nhn0	7.656
7tkg2	7.656
6za94	7.656
5grqB	7.656
6rd8J	7.656
5y18A	7.656
6zikM	7.656
7n4zD	7.656
P38507	9.665
S2XBG3	9.665
A0A6B5QAT6	9.665
A0A6G4ZNQ1	9.665
A0A6B5PRX7	9.665
A0A6B5I5A3	9.665
A0A5C8XCG2	9.665
A0A2D1LVN0	9.665
A0A6B5I478	9.665
D7RHA4	9.665
L7Z7M5	9.665
X2JFP7	9.665
L7Z8S7	9.665
A0A6P1WX63	9.665
A0A380EC03	9.665
L7Z8T2	9.665
B8Y6N0	9.665
A0A6B0AP05	9.665
A1KE65	9.665
Q2UW24	9.665
A0A0U3SJ87	9.086
A0A0A7LVG6	9.086
Q6LBX1	9.086
P99134	9.086
M4M875	9.086
Q683L6	9.086
A0A2T4RN37	9.086
A0A6G4ZL11	9.086
A0A380DNE5	9.086
Q70AB7	9.086
A0A2A4H0J3	9.086
A0A6B8U6F5	9.086
B5M1V1	9.086
A0A0U3TGA6	9.086
A0A3D8YJF2	9.086
S2XB73	9.086
E3T5W8	9.086
A0A7Z7VW18	9.086
A0A7M2WP92	9.086
E3T5W7	9.086
A0A6H0DUR9	8.541
A0A6H0DW98	8.541
A0A6H0DWB7	8.541
A0A6H0DUS9	8.541
A0A6H0DUZ4	8.541
A0A6H0DUT7	8.541
A0A6H0DTH4	8.541
A0A6H0DUP1	8.541
A0A380DHP0	8.541
A0A328K6E2	8.541
