PDB_ID	bits
5ee1A	9.586
6jluQ	9.586
4n06A	9.586
8eyqT	9.586
3tulB	9.586
7otgA	9.586
6zw4C	9.586
6zvrF	9.038
8aknU	9.038
7unhA	9.038
6dhzC	9.038
7krtC	9.038
2bc5A	9.038
2bc5A	9.038
4b9qD	9.038
2bc5A	9.038
2bc5A	9.038
2bc5A	9.038
8dt0A	8.52
6zw5A	8.52
4m70H	8.52
6xz3A	8.52
3ls1B	8.52
7rwxB	8.52
6drzA	8.52
8pmjA	8.033
7lslC	8.033
2qlaA	8.033
2j8wB	8.033
7xc2C	8.033
3lofB	8.033
7yn2A	7.573
7ko2D	7.573
7bgnC	7.573
2xldA	7.573
5me8B	7.139
8iyjU4	6.731
7rmxA	6.731
7n6g6L	6.346
1l8wA	6.346
7dgwA	5.982
1t6iA	5.982
6zw4A	5.982
1vykA	5.64
6n4nF	5.64
1nzeA	5.64
6n4nC	5.317
5j0lF	5.317
2khoA	5.317
1sziA	5.013
A0A6B5FN75	9.649
A0A380DW03	9.649
A0A2K4ADJ0	9.649
A0A1W6BM14	9.649
A0A7Z7VSU9	9.649
A0A6A8G3H0	9.649
A0A844QXR1	9.649
A0A1V6H3E3	9.649
A0A2E6EPM4	9.649
A0A7Y5BLR0	9.649
A0A2K4AMR7	9.649
A0A1G0LMT3	9.649
A0A651DZF5	9.649
A0A800K6L5	9.649
A0A2V9K6Q2	9.649
A0A523JCM6	9.649
A0A2V7HCV1	9.649
A0A1G0N5W2	9.649
A0A2H5VU03	9.649
A0A7J3XK94	9.649
A0A2E7MFG2	9.649
A0A7W1ICM5	9.649
A0A353C9R6	9.649
H9UKT2	9.649
A0A7W0RW96	9.649
A0A496QNA8	9.649
A0A7X6YSA5	9.649
R6H4B8	9.649
A0A3D4YTG5	9.649
A0A7J3T026	9.649
A0A0R1KUH6	9.649
A0A414FXF5	9.649
A0A7V9C7S5	9.649
A0A0K1PC00	9.649
A0A525BV99	9.649
B6G8E7	9.649
A0A7R9VEK6	9.649
A0A6M0HX21	9.649
A0A3C1KXG4	9.649
P61442	9.649
A0A7V2HZQ3	9.649
A0A3B9NBR0	9.649
A0A3D2YFI4	9.649
A0A7C6ENM2	9.649
A0A2M7NXN6	9.649
A0A7C7Y7H4	9.649
A0A533S1E6	9.649
A0A7X6NHF8	9.649
A0A354XMX6	9.649
A0A4Q6E9F5	9.649
