PDB_ID	bits
7k1iA	9.696
2xa4A	9.696
5zjiD	9.696
4qfgA	9.696
3qf7B	9.696
5b3rA	9.696
6dn4A	9.696
3ls2D	9.696
4eqmF	9.696
7lbmz	9.696
4folA	9.08
4folB	9.08
4folD	9.08
2fggA	9.08
8aa2M	9.08
8jx6B	9.08
8bbgE	9.08
3mkaI	9.08
3d5vA	9.08
2wymC	9.08
6zzyD	9.08
6tg1A	9.08
4jq7A	9.08
7lg8B	9.08
2oncC	9.08
5trrT	9.08
4e20A	9.08
5vftl	9.08
5trcB	8.502
8fkrLE	8.502
7yjmB	8.502
3hf9h	8.502
5cf8A	8.502
6gghA	8.502
5vtaB	8.502
1ucjB	8.502
6oczG	8.502
6s1fD	8.502
2ya3B	8.502
4ealB	8.502
7jijA	8.502
4k2rA	7.962
6y2qB	7.962
5tg4A	7.962
8gccB	7.962
2h6jH	7.962
2wymA	7.962
7m74B	7.962
8ewyB	7.962
6hzuB	7.962
A0A816LSA6	9.774
A0A7G2DUV9	9.774
I1KDC1	9.774
A0A1U7VAQ3	9.774
Q9XI36	9.152
A0A078GY27	9.152
A0A022QAK5	9.152
I1JWB8	9.152
A0A2Z7DAD8	9.152
A0A3S3M9L0	8.571
A0A7J0GLZ9	8.571
A0A6A4R770	8.571
A0A2G2WQS8	8.571
A0A2P5BH55	8.571
A0A7N0TFN6	8.571
A0A5C7IL45	8.571
A0A7G2DT15	8.571
A0A836Y5W8	8.571
A0A1S4E3V1	8.026
A0A6J1CUB2	8.026
A0A2G3B7A5	8.026
A0A1J3HA48	8.026
A0A803P044	8.026
A0A2U1ND54	8.026
A0A6J1BFB2	8.026
A0A836XRR9	8.026
A0A1S2YMH3	7.516
I1M5U1	7.516
A0A835R189	7.516
A0A565B576	7.516
A0A6N2AYY0	7.516
A0A2J6KMT9	7.516
A0A6J1DJM3	7.038
A0A1S4BIM7	7.038
A0A251TS61	7.038
A0A1U8F6Z4	7.038
A0A7J7GYJ4	6.59
A0A0K9R0V4	6.59
A0A2I0B5X8	6.59
A0A251SZS4	6.59
A0A6A4PL38	6.171
A0A6A3C225	6.171
A0A2G2YH09	6.171
A0A7J6HC33	6.171
A0A7J6EPK8	6.171
A0A3Q7J3M9	6.171
A0A0K9NZG0	6.171
A0A1J7H8F5	6.171
A0A7J6FRC9	6.171
K4CBT6	6.171
